,exp,reps,cabinet,node,device,train_time,mean_iter_dur,perf,max_iter_dur,min_iter_dur,uuid
0,bert,1,c198,42,0,0,0.179441456,0.179446859,3.279251475,0.176415894,GPU-8b39353e-133c-96d0-7b5f-4195d9c60bae
1,bert,1,c198,42,1,0,0.17756622,0.177493162,3.277793389,0.174857533,GPU-d92be4b5-48ba-f741-8241-215938d18ad8
2,bert,1,c198,42,2,0,0.178536318,0.178637387,3.27569076,0.176006687,GPU-24aa1dec-32fe-add8-751e-4ad886e42cd7
3,bert,1,c198,42,3,0,0.17864405,0.178624024,3.266434328,0.174713502,GPU-d6a67224-5da4-cd28-eae8-0728f598bfbc
4,bert,2,c197,112,0,0,0.179097446,0.179096103,3.321229418,0.176127709,GPU-c19b42c9-a13b-8c6e-7458-5d29499bbfd5
5,bert,2,c197,112,1,0,0.178094795,0.178130145,3.312924291,0.174821611,GPU-f500da1f-94e0-e012-5333-d9ce75312c3c
6,bert,2,c197,112,2,0,0.179786904,0.179677567,3.312621652,0.17704714,GPU-68857950-994f-bd13-ef38-e39f6e412370
7,bert,2,c197,112,3,0,0.179623959,0.17956648,3.325991565,0.175055572,GPU-d237dced-269d-1a88-2a3d-35b3aa7a6667
8,bert,2,c197,111,0,0,0.178952571,0.178940153,3.415251073,0.173290171,GPU-0f460334-4718-2a54-ca4e-bdee896bad5e
9,bert,2,c197,111,1,0,0.178711693,0.178663806,3.396292544,0.17554304,GPU-4b9d859c-76d0-4033-7069-77c1023c09c5
10,bert,2,c197,111,2,0,0.180024382,0.179962062,3.424169905,0.176939163,GPU-58eadc9b-2e2f-2954-66bd-103a3d4df896
11,bert,2,c197,111,3,0,0.178555197,0.178516453,3.417289022,0.172227972,GPU-9552c8f4-21a4-444c-0e24-036d4f2e1fea
12,bert,2,c197,31,0,0,0.178265183,0.178349652,3.283106776,0.175767048,GPU-71bcc6c0-1e24-2bda-31ec-d6ff86f0ff88
13,bert,2,c197,31,1,0,0.178658263,0.178602145,3.308197806,0.175995271,GPU-8ccafb11-6944-f86c-f851-d82be1e7cc71
14,bert,2,c197,31,2,0,0.179280011,0.179209995,3.317095085,0.175530995,GPU-b47e4552-d7fc-14f6-b97b-bdc63b5c4b54
15,bert,2,c197,31,3,0,0.178866684,0.178847803,3.331055874,0.176401474,GPU-2ffa8a10-936f-ed1a-f897-8c69ebb26391
16,bert,4,c198,21,0,0,0.189498436,0.189210816,3.323794107,0.184748537,GPU-0f4b2b1e-8297-a5c6-d9f9-1c2635c4cc92
17,bert,4,c198,21,1,0,0.189313613,0.189216129,3.34784827,0.180546114,GPU-5586ec8e-9972-13cd-a4c1-dda2ad989dfc
18,bert,4,c198,21,2,0,0.1887799,0.188710325,3.32563131,0.180855762,GPU-22cb1830-11a6-1772-8d18-2b27cd236c8f
19,bert,4,c198,21,3,0,0.189813772,0.189626395,3.348970243,0.184630791,GPU-57961912-db52-59c7-9368-928374594f69
20,bert,3,c197,52,0,0,0.178588873,0.17862832,3.253835105,0.175752285,GPU-2dc89359-41b9-de5c-f0f5-cde6b995528d
21,bert,3,c197,52,1,0,0.178336112,0.178356574,3.245137074,0.175736878,GPU-c5f70823-cc61-16ec-33f8-4c51aec4b322
22,bert,3,c197,52,2,0,0.178945644,0.17894706,3.244924651,0.176487436,GPU-909ad533-be3d-53c7-971f-c2fb3abe476c
23,bert,3,c197,52,3,0,0.178172697,0.178196279,3.242166175,0.174493078,GPU-34bbfc77-1de8-6792-3317-23172e47e70d
24,bert,3,c196,42,0,0,0.179070326,0.179101937,3.399111666,0.175961424,GPU-76b58ef4-9322-a869-13c5-fdebd7f266c5
25,bert,3,c196,42,1,0,0.179188427,0.179184298,3.408873477,0.174856521,GPU-73ea3093-4f70-104d-ac0c-53398037296b
26,bert,3,c196,42,2,0,0.179628987,0.179679661,3.391137246,0.176478432,GPU-1769e88d-4e21-c6fa-e5d2-bf0c2d55e5df
27,bert,3,c196,42,3,0,0.178500495,0.178470717,3.390768955,0.175965031,GPU-c8d2f290-bf0b-38a3-7a49-071453c4f99b
28,bert,0,c196,72,0,0,0.17906647,0.178956913,5.371457928,0.176512094,GPU-65990682-bbf8-0818-4109-9a86f0f02e6f
29,bert,0,c196,72,1,0,0.17813279,0.178157205,5.36554165,0.175622847,GPU-209c879c-4afb-2e25-5fea-73a69b738ce1
30,bert,0,c196,72,2,0,0.179066908,0.179085986,5.470831553,0.176519944,GPU-9d332a8d-6139-d311-794f-341360c0e211
31,bert,0,c196,72,3,0,0.178033396,0.178129953,5.470852423,0.16930155,GPU-73b844f9-cfd5-b9de-b344-2f895e84c74d
32,bert,0,c197,111,0,0,0.179045535,0.179089744,4.44013543,0.172602397,GPU-0f460334-4718-2a54-ca4e-bdee896bad5e
33,bert,0,c197,111,1,0,0.178687008,0.178743197,4.428099908,0.174408943,GPU-4b9d859c-76d0-4033-7069-77c1023c09c5
34,bert,0,c197,111,2,0,0.179809157,0.179753404,4.407930614,0.17650212,GPU-58eadc9b-2e2f-2954-66bd-103a3d4df896
35,bert,0,c197,111,3,0,0.179050526,0.178960118,4.445090407,0.173990849,GPU-9552c8f4-21a4-444c-0e24-036d4f2e1fea
36,bert,2,c196,71,0,0,0.180952188,0.180975938,3.309764848,0.176579696,GPU-ff79558e-5b2e-0218-ddd1-4026a868279c
37,bert,2,c196,71,1,0,0.177494077,0.177404966,3.366920766,0.174875511,GPU-eea21d9b-86da-4f67-a5ec-953136260696
38,bert,2,c196,71,2,0,0.17906913,0.179042486,3.386143683,0.175892451,GPU-a443a153-8c68-a285-e46b-32247ba74fb8
39,bert,2,c196,71,3,0,0.177992981,0.177877747,3.385018966,0.175091627,GPU-5630a182-4df4-d329-d517-411ea9194b0f
40,bert,3,c199,62,0,0,0.178716503,0.178713929,3.311422194,0.176006582,GPU-d9b2c0cc-1c52-9529-73e9-c564f3a98199
41,bert,3,c199,62,1,0,0.177363597,0.177298014,3.301972712,0.173635248,GPU-c41b5497-6287-2cdf-64c0-3dd6a936851a
42,bert,3,c199,62,2,0,0.179231214,0.179141711,3.284077878,0.175202726,GPU-ac0ae492-caa6-f1b7-7df4-b355b8117482
43,bert,3,c199,62,3,0,0.177568458,0.17747953,3.302169307,0.174938928,GPU-27a9d007-e385-5a7a-3933-8818ddfedd56
44,bert,4,c197,32,0,0,0.178938435,0.178883829,3.248498863,0.172365144,GPU-aece59c8-5cdd-88ae-f4af-343bbd7039c6
45,bert,4,c197,32,1,0,0.177480143,0.177391524,3.249208286,0.174001011,GPU-a6019a64-6c55-7009-522f-75c009fcc35b
46,bert,4,c197,32,2,0,0.178940377,0.178871353,3.24653168,0.17560229,GPU-ce23372d-9b91-fa22-4b6a-efdf50dc605f
47,bert,4,c197,32,3,0,0.178546221,0.178423133,3.237942936,0.176364818,GPU-084d924d-e1ef-c343-8b49-5c9fd4d1471e
48,bert,5,c197,61,0,0,0.178804364,0.178877627,3.296750152,0.171309184,GPU-ee8d6575-04ef-d96a-7049-9a792b589fd4
49,bert,5,c197,61,1,0,0.17868591,0.178703618,3.300412121,0.175942466,GPU-e3882ba0-d81b-7e06-0f61-e6b6899673ca
50,bert,5,c197,61,2,0,0.179325721,0.179317703,3.2919389,0.176664019,GPU-01b31d42-2339-500c-e226-c152144e6af3
51,bert,5,c197,61,3,0,0.178611814,0.178605553,3.301217744,0.175050704,GPU-e0929bd0-34e9-53c6-4d22-f0f1c0daa3ef
52,bert,1,c196,72,0,0,0.179884601,0.179847045,3.269411453,0.173951741,GPU-65990682-bbf8-0818-4109-9a86f0f02e6f
53,bert,1,c196,72,1,0,0.178383143,0.178241151,3.290160505,0.174254045,GPU-209c879c-4afb-2e25-5fea-73a69b738ce1
54,bert,1,c196,72,2,0,0.179893839,0.179875204,3.303365082,0.176463743,GPU-9d332a8d-6139-d311-794f-341360c0e211
55,bert,1,c196,72,3,0,0.178331448,0.178242841,3.306641727,0.172022443,GPU-73b844f9-cfd5-b9de-b344-2f895e84c74d
56,bert,2,c197,92,0,0,0.178077442,0.178024814,3.240153556,0.17408406,GPU-c5992df9-8d3b-c84d-4117-8f4e23515b5b
57,bert,2,c197,92,1,0,0.1783301,0.178293353,3.216715941,0.176122566,GPU-dbe11990-1ffe-bf6e-1bcd-597305863b32
58,bert,2,c197,92,2,0,0.178175254,0.178143931,3.249026914,0.171461922,GPU-28c301cb-dc08-2d35-dde8-9af7a74841b4
59,bert,2,c197,92,3,0,0.179930927,0.17985986,3.229361757,0.177241656,GPU-e289b4a9-b821-519b-4474-24560d64ceae
60,bert,3,c199,61,0,0,0.178329532,0.17827014,3.376034171,0.175477471,GPU-3bd60980-a877-b94d-934b-cd3599f8e788
61,bert,3,c199,61,1,0,0.178479458,0.178415498,3.395328931,0.175555466,GPU-186adbd6-869d-a96b-e984-bb1b5a453d30
62,bert,3,c199,61,2,0,0.178514041,0.178490356,3.383540342,0.171820304,GPU-26263a8f-1606-5d87-cf96-4e6b5e535e66
63,bert,3,c199,61,3,0,0.177880716,0.177982196,3.388118348,0.175578125,GPU-f89cf3cd-acb5-cf90-4ece-8141ca477c65
64,bert,0,c197,101,0,0,0.179710585,0.179645106,5.079435303,0.176633724,GPU-be442cc8-e87b-3a0e-feec-2950f955c165
65,bert,0,c197,101,1,0,0.177669138,0.177515622,5.055067321,0.173080778,GPU-690d7372-0ac5-c58c-9691-e5a9c5428eea
66,bert,0,c197,101,2,0,0.178838961,0.178745497,5.036150156,0.175442477,GPU-61aee3cb-0d16-46e6-a9d0-f9252aa3c528
67,bert,0,c197,101,3,0,0.177679994,0.177604589,5.031954996,0.172524941,GPU-9aa7e618-e7af-2781-3e37-392aa3999d08
68,bert,2,c197,102,0,0,0.178123198,0.178156007,3.160463538,0.175308108,GPU-e4f10e61-41ee-177d-a493-4c6cdbdd3774
69,bert,2,c197,102,1,0,0.17840009,0.178379641,3.201160129,0.174504868,GPU-1c1160b0-b1cc-82eb-ff12-7db640f38e7f
70,bert,2,c197,102,2,0,0.178118505,0.178113507,3.141669346,0.175490874,GPU-b53ec098-6d54-b1bf-abaa-6fd7e24e77de
