cabinet,device,model,node,perf_avg,perf,run,uuid
c198,1,pagerank,41,1291700.012,2585983424,4,GPU-41e127b9-0b0e-32e9-5b6b-d83fe8af11ed
c197,2,pagerank,42,1292947.772,2588481440,1,GPU-0f931387-8fa1-22c2-4fec-0c39738f3743
c196,2,pagerank,62,1292862.833,2588311392,4,GPU-9f233605-62c7-c998-3c19-8051b138d7a8
c197,1,pagerank,81,1292020.108,2586624256,3,GPU-8897bbdb-9892-31c2-53e9-4d11dd5ad235
c196,0,pagerank,71,1291664.687,2585912704,2,GPU-ff79558e-5b2e-0218-ddd1-4026a868279c
c196,0,pagerank,72,1292313.99,2587212608,1,GPU-65990682-bbf8-0818-4109-9a86f0f02e6f
c196,0,pagerank,42,1292873.287,2588332320,4,GPU-76b58ef4-9322-a869-13c5-fdebd7f266c5
c199,3,pagerank,112,1292117.882,2586820000,0,GPU-4ef43ea3-8a93-3f9a-f774-035ef50c4a1c
c198,2,pagerank,112,1292828.659,2588242976,3,GPU-edd8c8cf-6e3a-6e89-44f8-ab74d5ed8dcc
c199,2,pagerank,112,1291473.758,2585530464,3,GPU-bd8dc51a-319c-b80c-3bcb-dd19ad52999d
c198,3,pagerank,22,1292495.68,2587576352,4,GPU-9be951b4-61ac-9efe-4a49-6745dbe5dde0
c199,1,pagerank,52,1292784.671,2588154912,1,GPU-c02a58d6-397f-fa2d-9d52-e21f20e5f877
c199,1,pagerank,51,1292744.2,2588073888,0,GPU-acb8a3f7-fa5a-5a5c-2c9f-c4d60460e49b
c197,3,pagerank,41,1292884.14,2588354048,4,GPU-cfce0c96-3a6e-2f08-2b84-5df518f499b4
c199,1,pagerank,22,1292158.066,2586900448,1,GPU-c0b12dd5-53c3-3c57-c3c3-d1eacf1cd2e4
c198,1,pagerank,71,1292036.252,2586656576,2,GPU-e8f7ef46-1905-975f-7b59-c4413d78194b
c196,3,pagerank,72,1292756.843,2588099200,0,GPU-73b844f9-cfd5-b9de-b344-2f895e84c74d
c197,1,pagerank,101,1292527.473,2587640000,3,GPU-690d7372-0ac5-c58c-9691-e5a9c5428eea
c197,1,pagerank,41,1292873.479,2588332704,4,GPU-1c2a30dc-75a3-492e-b4b1-c0ba395c01ca
c197,1,pagerank,102,1291022.242,2584626528,4,GPU-1c1160b0-b1cc-82eb-ff12-7db640f38e7f
c199,0,pagerank,52,1292997.93,2588581856,3,GPU-9cfd3bc9-ec4c-cce3-8d2a-f00dadc39c15
c197,2,pagerank,101,1292881.694,2588349152,3,GPU-61aee3cb-0d16-46e6-a9d0-f9252aa3c528
c197,0,pagerank,32,1291981.395,2586546752,1,GPU-aece59c8-5cdd-88ae-f4af-343bbd7039c6
c198,2,pagerank,51,1293011.277,2588608576,2,GPU-184cd5cd-30f3-ab6c-087e-32235d88b6d1
c199,1,pagerank,101,1291496.168,2585575328,1,GPU-3566d686-55d3-7d45-8edf-380002984cd5
c196,2,pagerank,102,1291658.246,2585899808,0,GPU-785e5384-b9db-5ffb-159c-bf337727844d
c199,2,pagerank,51,1292401.359,2587387520,4,GPU-864b73c8-4d03-258b-61d0-abf4353ce679
c198,3,pagerank,81,1290659.133,2583899584,3,GPU-895ed595-0194-b533-fad7-66d21d3b5982
c199,3,pagerank,121,1291431.177,2585445216,2,GPU-f8ced0f1-cadb-f242-09b5-eaaf201a8767
c198,3,pagerank,62,1293285.275,2589157120,4,GPU-79ff28a8-e91f-59e8-31fc-f54fefb4b86f
c197,0,pagerank,81,1291899.94,2586383680,0,GPU-24db6353-9910-8780-3dfe-d56835bd23fa
c196,3,pagerank,102,1291698.35,2585980096,0,GPU-3c7bacce-95d6-45a6-737f-cccf4ec93d09
c196,2,pagerank,101,1290087.193,2582754560,3,GPU-59888e95-002d-ca96-882f-16208da56b2a
c198,0,pagerank,111,1292583.64,2587752448,1,GPU-e203069a-77a3-598c-10f7-d29aa953e8ad
c199,3,pagerank,101,1292703.872,2587993152,1,GPU-2aad00f6-c880-f072-24b7-e548f74a548b
c199,2,pagerank,71,1291547.461,2585678016,0,GPU-94a3f477-4960-ba6e-e644-f14641b2e8d1
c199,1,pagerank,61,1292458.198,2587501312,1,GPU-186adbd6-869d-a96b-e984-bb1b5a453d30
c199,2,pagerank,61,1292168.392,2586921120,2,GPU-26263a8f-1606-5d87-cf96-4e6b5e535e66
c199,0,pagerank,71,1291990.266,2586564512,2,GPU-0d08d63c-f45d-2753-d3b2-e48b8476be85
c199,2,pagerank,91,1291957.019,2586497952,0,GPU-6226967d-97d4-3012-b664-8c1e068155c7
c196,2,pagerank,52,1291481.335,2585545632,2,GPU-246048be-a3a5-d67a-03ff-edeb54be1914
c199,2,pagerank,91,1292483.293,2587551552,3,GPU-6226967d-97d4-3012-b664-8c1e068155c7
c197,2,pagerank,32,1291458.685,2585500288,3,GPU-ce23372d-9b91-fa22-4b6a-efdf50dc605f
c198,3,pagerank,61,1292573.363,2587731872,2,GPU-7764d4ed-bb55-9161-44d5-e8ac1441f9dc
c197,0,pagerank,82,1291000.376,2584582752,2,GPU-352c6a6a-c453-870b-ed58-f85419f4ed96
c198,0,pagerank,111,1293232.959,2589052384,0,GPU-e203069a-77a3-598c-10f7-d29aa953e8ad
