,exp,reps,cabinet,node,device,train_time,mean_iter_dur,perf,max_iter_dur,min_iter_dur,uuid
0,resnet,0,c197,101,0,241.78737,0.235629501,0.135664855,11.44935491,0.12526806,GPU-be442cc8-e87b-3a0e-feec-2950f955c165
1,resnet,0,c197,101,1,241.78737,0.216085048,0.138128478,11.61047846,0.1253025,GPU-690d7372-0ac5-c58c-9691-e5a9c5428eea
2,resnet,0,c197,101,2,241.78737,0.146727037,0.133105178,11.29265525,0.125130652,GPU-61aee3cb-0d16-46e6-a9d0-f9252aa3c528
3,resnet,0,c197,101,3,241.78737,0.237598147,0.13440095,11.3736384,0.124686641,GPU-9aa7e618-e7af-2781-3e37-392aa3999d08
4,resnet,1,c199,51,0,187.070347,0.137405886,0.135927387,7.63400584,0.130030557,GPU-22307102-b01c-f796-80aa-d85d42354fe0
5,resnet,1,c199,51,1,187.070347,0.137151876,0.135650093,7.997123458,0.130381506,GPU-acb8a3f7-fa5a-5a5c-2c9f-c4d60460e49b
6,resnet,1,c199,51,2,187.070347,0.137501061,0.135792626,7.758041501,0.129180322,GPU-864b73c8-4d03-258b-61d0-abf4353ce679
7,resnet,1,c199,51,3,187.070347,0.136865571,0.135504294,7.814918725,0.130308584,GPU-e0e5231e-df3e-80a2-81b0-0df205205d90
8,resnet,0,c199,52,0,339.617217,0.251678286,0.137229328,25.43029139,0.124565969,GPU-9cfd3bc9-ec4c-cce3-8d2a-f00dadc39c15
9,resnet,0,c199,52,1,339.617217,0.216471388,0.13687317,38.48897222,0.123006797,GPU-c02a58d6-397f-fa2d-9d52-e21f20e5f877
10,resnet,0,c199,52,2,339.617217,0.286466306,0.136768555,34.7467567,0.124297257,GPU-a4c2be25-e61d-74a8-cbf6-39af358d6243
11,resnet,0,c199,52,3,339.617217,0.312917739,0.138853008,34.47895248,0.123973715,GPU-4abb0df7-9692-f3c1-38eb-b3a43005a412
12,resnet,3,c196,52,0,185.552113,0.136106644,0.13416918,7.215739833,0.129731538,GPU-bbfd8870-58a9-6a7c-d1e0-97b5b21dd13f
13,resnet,3,c196,52,1,185.552113,0.137087514,0.135289667,7.501225911,0.129532157,GPU-1b707649-2784-0639-8b36-e00b57be1c95
14,resnet,3,c196,52,2,185.552113,0.136473747,0.135019413,7.236659515,0.128248267,GPU-246048be-a3a5-d67a-03ff-edeb54be1914
15,resnet,3,c196,52,3,185.552113,0.137118179,0.134660434,7.288990933,0.129756683,GPU-d65bc0c4-1852-1fb8-6ce6-b7345c991d28
16,resnet,3,c197,81,0,186.155848,0.137026097,0.135619562,7.316654129,0.129530915,GPU-24db6353-9910-8780-3dfe-d56835bd23fa
17,resnet,3,c197,81,1,186.155848,0.137176572,0.135674864,7.453816462,0.12905425,GPU-8897bbdb-9892-31c2-53e9-4d11dd5ad235
18,resnet,3,c197,81,2,186.155848,0.136812859,0.134879764,7.216871392,0.130212437,GPU-f66719ae-228c-d446-aaf9-e8b6f0ddffd5
19,resnet,3,c197,81,3,186.155848,0.136696831,0.135028811,7.375955277,0.129136216,GPU-5a37a5ad-daef-2766-51c4-333af47cc972
20,resnet,3,c196,62,0,185.829926,0.137076689,0.135560965,7.346558799,0.129332293,GPU-b5bfd8f4-1af1-1d42-7e61-4418fb73e9b5
21,resnet,3,c196,62,1,185.829926,0.137083062,0.136006588,7.440758153,0.128751039,GPU-4cae3e04-8317-7130-c33d-f596fe441d34
22,resnet,3,c196,62,2,185.829926,0.136759531,0.13512519,7.13335899,0.129997881,GPU-9f233605-62c7-c998-3c19-8051b138d7a8
23,resnet,3,c196,62,3,185.829926,0.136225073,0.134720403,7.349670007,0.129462086,GPU-9e51dd33-ce17-5832-e3f3-257032c14eee
24,resnet,2,c198,101,0,186.989935,0.137627783,0.136043079,7.463626505,0.12977349,GPU-33c24d68-8734-d4da-c775-4a201cad9aa5
25,resnet,2,c198,101,1,186.989935,0.138177814,0.137076163,7.797411803,0.130004724,GPU-4b51c235-cfb1-a2b8-c3a2-1c34a0d8cd66
26,resnet,2,c198,101,2,186.989935,0.137423778,0.135810939,7.617805866,0.129332445,GPU-50d47302-384d-41ec-7360-05758508950c
27,resnet,2,c198,101,3,186.989935,0.137200133,0.135933799,7.800179911,0.129267861,GPU-25b05cf8-e375-3e64-4d3c-da3563b568d8
28,resnet,0,c198,101,0,240.154259,0.179395498,0.138820733,37.26882268,0.12565491,GPU-33c24d68-8734-d4da-c775-4a201cad9aa5
29,resnet,0,c198,101,1,240.154259,0.149087438,0.13392547,37.37892782,0.127007722,GPU-4b51c235-cfb1-a2b8-c3a2-1c34a0d8cd66
30,resnet,0,c198,101,2,240.154259,0.164106029,0.135264322,37.10293553,0.127211557,GPU-50d47302-384d-41ec-7360-05758508950c
31,resnet,0,c198,101,3,240.154259,0.177921692,0.135945763,37.31487003,0.127280766,GPU-25b05cf8-e375-3e64-4d3c-da3563b568d8
32,resnet,3,c196,102,0,185.485478,0.13752546,0.136200329,7.268897791,0.129224747,GPU-b11d2b95-f951-0140-409e-20aef552a185
33,resnet,3,c196,102,1,185.485478,0.137764925,0.136024036,7.520931873,0.129279346,GPU-8cf8b7e3-1dbb-79cc-ff49-06458b355977
34,resnet,3,c196,102,2,185.485478,0.13705579,0.135807634,7.314441553,0.127520236,GPU-785e5384-b9db-5ffb-159c-bf337727844d
35,resnet,3,c196,102,3,185.485478,0.136171231,0.13458172,7.314004667,0.12896535,GPU-3c7bacce-95d6-45a6-737f-cccf4ec93d09
36,resnet,4,c197,112,0,186.117307,0.13723414,0.135856101,7.45220851,0.129611614,GPU-c19b42c9-a13b-8c6e-7458-5d29499bbfd5
37,resnet,4,c197,112,1,186.117307,0.136089188,0.134574513,7.613773027,0.129121696,GPU-f500da1f-94e0-e012-5333-d9ce75312c3c
38,resnet,4,c197,112,2,186.117307,0.135636709,0.134603136,7.422085007,0.128091047,GPU-68857950-994f-bd13-ef38-e39f6e412370
39,resnet,4,c197,112,3,186.117307,0.138041044,0.136317485,7.594781024,0.131070395,GPU-d237dced-269d-1a88-2a3d-35b3aa7a6667
40,resnet,3,c198,111,0,185.870965,0.13609039,0.134971302,7.485617322,0.127776559,GPU-e203069a-77a3-598c-10f7-d29aa953e8ad
41,resnet,3,c198,111,1,185.870965,0.138211569,0.136575147,7.824976416,0.128373154,GPU-00ccd5ea-1163-8b1b-b814-37f30b32424a
42,resnet,3,c198,111,2,185.870965,0.13839152,0.136330248,7.297513432,0.129739532,GPU-6dde75ce-71df-7921-797d-f0ccb641f223
43,resnet,3,c198,111,3,185.870965,0.134999926,0.133445594,7.589182258,0.127126666,GPU-4377a22b-6292-e4ec-1def-d69a59432086
44,resnet,4,c199,61,0,190.351882,0.136210849,0.134590523,11.3927867,0.128747039,GPU-3bd60980-a877-b94d-934b-cd3599f8e788
45,resnet,4,c199,61,1,190.351882,0.135877899,0.134549781,11.65526568,0.129049175,GPU-186adbd6-869d-a96b-e984-bb1b5a453d30
46,resnet,4,c199,61,2,190.351882,0.138575604,0.136914148,11.41703345,0.130461615,GPU-26263a8f-1606-5d87-cf96-4e6b5e535e66
47,resnet,4,c199,61,3,190.351882,0.136220885,0.134546859,11.3742936,0.128852006,GPU-f89cf3cd-acb5-cf90-4ece-8141ca477c65
48,resnet,1,c197,72,0,186.951295,0.138139473,0.136313438,7.874741509,0.129714699,GPU-f57e8247-4e51-787e-d125-1b16a8cf4582
49,resnet,1,c197,72,1,186.951295,0.135508445,0.134106006,7.903000715,0.127929005,GPU-52f8161b-43d3-827b-2684-80b609bc8ec6
50,resnet,1,c197,72,2,186.951295,0.135247585,0.133768313,7.713726686,0.127354989,GPU-06212af4-9a15-8518-a41e-b0cee5abb6ef
51,resnet,1,c197,72,3,186.951295,0.136153988,0.134827077,7.985852409,0.127979302,GPU-e710280b-c0c7-7ec2-a0f1-3573e14baf9e
