exp,cabinet,node,device,uuid,mean_iter_dur_mean,perf,train_time_mean,train_time_median,norm_perf
resnet,c302,1,0,c302-1-0,0.025948466,0.026050326,27.22776667,27.3618335,1.030476933
resnet,c302,1,1,c302-1-1,0.025164821,0.024909528,26.02839083,25.7711195,0.985350203
resnet,c302,1,2,c302-1-2,0.025424841,0.025202213,26.1468905,25.965581,0.996927991
resnet,c302,2,0,c302-2-0,0.025401671,0.025386437,26.89147117,26.814292,1.004215369
resnet,c302,2,1,c302-2-1,0.025131437,0.025341936,26.33694717,26.2735205,1.002455036
resnet,c302,2,2,c302-2-2,0.02538102,0.025257462,26.37262,26.3482805,0.999113484
resnet,c302,3,0,c302-3-0,0.025307,0.025311072,26.86826933,26.859061,1.001234144
resnet,c302,3,1,c302-3-1,0.0254938,0.025402165,26.421383,26.4841135,1.004837524
resnet,c302,3,2,c302-3-2,0.02483771,0.02471291,26.34038633,26.28349,0.977572553
resnet,c302,4,0,c302-4-0,0.025360092,0.025205646,26.4983235,26.3593585,0.997063791
resnet,c302,4,1,c302-4-1,0.024976673,0.025125447,25.62702483,25.6937445,0.993891346
resnet,c302,4,2,c302-4-2,0.02603246,0.026223538,26.536222,26.42964,1.037328708
resnet,c303,1,0,c303-1-0,0.024762731,0.02484075,26.48120883,26.2123265,0.982629541
resnet,c303,1,1,c303-1-1,0.025264789,0.025049833,26.16982867,26.285281,0.990900271
resnet,c303,1,2,c303-1-2,0.025100547,0.025154956,26.052863,26.0380195,0.995058638
resnet,c303,2,0,c303-2-0,0.025263321,0.025234991,26.538256,26.419611,0.998224596
resnet,c303,2,1,c303-2-1,0.025109709,0.024857014,26.16767817,26.0441885,0.983272899
resnet,c303,2,2,c303-2-2,0.02468225,0.024941215,25.80347383,25.63904,0.986603651
resnet,c303,3,0,c303-3-0,0.025596172,0.025854895,26.40582133,26.4782675,1.022746238
resnet,c303,3,1,c303-3-1,0.025418353,0.025301313,25.51544817,25.526678,1.000848106
resnet,c303,3,2,c303-3-2,0.025899417,0.025903169,25.69076667,25.5698625,1.02465582
resnet,c303,4,0,c303-4-0,0.025517342,0.025252119,27.00161967,26.8369495,0.998902131
resnet,c303,4,1,c303-4-1,0.024373924,0.0241938,25.9809555,26.028148,0.957038036
resnet,c303,4,2,c303-4-2,0.025477725,0.02557784,26.246058,26.218995,1.011786729
resnet,c304,1,0,c304-1-0,0.025543493,0.02564658,26.90860233,26.861507,1.014505888
resnet,c304,1,1,c304-1-1,0.025546197,0.025624467,26.22387567,26.328697,1.01363116
resnet,c304,1,2,c304-1-2,0.025341224,0.025273351,26.2708835,26.3183735,0.999742008
resnet,c305,1,0,c305-1-0,0.025143712,0.02471883,26.47271533,26.2454845,0.977806732
resnet,c305,1,1,c305-1-1,0.024606974,0.024513978,25.81546133,25.593494,0.969703368
resnet,c305,1,2,c305-1-2,0.024948196,0.025177153,26.021361,25.9706995,0.995936688
resnet,c305,2,0,c305-2-0,0.024995189,0.024797211,28.228848,26.1289285,0.980907262
resnet,c305,2,1,c305-2-1,0.025375693,0.025268097,25.86785933,25.869761,0.999534175
resnet,c305,2,2,c305-2-2,0.024644153,0.024589382,25.898073,26.0056885,0.972686137
resnet,c305,3,0,c305-3-0,0.025194229,0.025305728,26.81477567,26.662337,1.00102275
resnet,c305,3,1,c305-3-1,0.025275832,0.025054604,25.7778325,25.7766205,0.991088998
resnet,c305,3,2,c305-3-2,0.025440338,0.025675786,25.89151117,25.9259075,1.015661194
resnet,c305,4,0,c305-4-0,0.025089511,0.024986019,26.457975,26.372934,0.98837597
resnet,c305,4,1,c305-4-1,0.025394345,0.024801938,25.8717125,25.856244,0.981094248
resnet,c305,4,2,c305-4-2,0.024824217,0.024667636,25.86515083,25.7683775,0.975781643
resnet,c306,1,0,c306-1-0,0.025948291,0.02624762,27.29309067,27.2929155,1.038281324
resnet,c306,1,1,c306-1-1,0.025502634,0.025416648,26.00469133,26.037413,1.005410431
resnet,c306,1,2,c306-1-2,0.025304831,0.025008662,25.75084317,25.7026085,0.989271663
resnet,c306,2,0,c306-2-0,0.025496182,0.02579943,27.9106995,27.8567675,1.0205522
resnet,c306,2,1,c306-2-1,0.025400675,0.025436754,26.1763455,26.23576,1.006205767
resnet,c306,2,2,c306-2-2,0.025748591,0.026056285,26.3775525,26.509268,1.030712654
