,exp,reps,uuid,cabinet,node,ts,device,kern_min_start,kern_max_start,num_kerns,perf,freq,memfreq,temp,pwr
331,pagerank,2,GPU-0542528c-4ba5-0eff-4a1f-90ac59dd0446,c005,004,1648045869,3,0.964109,66.722103,2000,66035.874913,1530.0,877.0,33.0,78.072
224,pagerank,1,GPU-0542528c-4ba5-0eff-4a1f-90ac59dd0446,c005,004,1648045588,3,0.910221,66.712506,2000,66069.602246,1530.0,877.0,33.0,78.072
497,pagerank,4,GPU-0542528c-4ba5-0eff-4a1f-90ac59dd0446,c005,004,1648046437,3,0.937228,66.694512,2000,66031.960861,1530.0,877.0,33.0,78.072
338,pagerank,5,GPU-0542528c-4ba5-0eff-4a1f-90ac59dd0446,c005,004,1648046718,3,0.908934,66.712786,2000,66080.322105,1530.0,877.0,33.0,78.072
696,pagerank,3,GPU-0542528c-4ba5-0eff-4a1f-90ac59dd0446,c005,004,1648046156,3,0.908299,66.71402,2000,66078.276714,1530.0,877.0,33.0,78.072
194,pagerank,1,GPU-05a855f3-65a0-23e1-9d96-7b4140252d90,c009,007,1647846090,2,0.903839,64.796483,2000,64157.41862700001,1530.0,877.0,36.0,85.477
422,pagerank,4,GPU-05a855f3-65a0-23e1-9d96-7b4140252d90,c009,007,1647846921,2,0.913113,64.809961,2000,64156.240896,1530.0,877.0,36.0,85.477
763,pagerank,2,GPU-05a855f3-65a0-23e1-9d96-7b4140252d90,c009,007,1647846367,2,0.906148,64.710249,2000,64072.554750999996,1530.0,877.0,36.0,85.477
761,pagerank,3,GPU-05a855f3-65a0-23e1-9d96-7b4140252d90,c009,007,1647846644,2,0.883077,64.771831,2000,64150.300934,1530.0,877.0,36.0,85.477
116,pagerank,5,GPU-05a855f3-65a0-23e1-9d96-7b4140252d90,c009,007,1647847198,2,0.892136,64.780212,2000,64148.824061,1530.0,877.0,36.0,85.477
456,pagerank,3,GPU-0b5f7491-5033-ecfa-efd9-1c528756423d,c009,008,1647846569,0,0.782097,66.551555,2000,66040.668882,1530.0,877.0,37.0,86.968
248,pagerank,5,GPU-0b5f7491-5033-ecfa-efd9-1c528756423d,c009,008,1647847120,0,0.730287,66.467122,2000,66006.22606500001,1530.0,877.0,37.0,86.968
605,pagerank,1,GPU-0b5f7491-5033-ecfa-efd9-1c528756423d,c009,008,1647845909,0,0.776438,66.513265,2000,66010.165033,1312.0,877.0,36.0,68.624
615,pagerank,2,GPU-0b5f7491-5033-ecfa-efd9-1c528756423d,c009,008,1647846295,0,0.889436,66.605883,2000,65988.991366,1530.0,877.0,37.0,86.968
562,pagerank,4,GPU-0b5f7491-5033-ecfa-efd9-1c528756423d,c009,008,1647846844,0,0.752583,66.453348,2000,65971.87258,1530.0,877.0,37.0,86.968
856,pagerank,1,GPU-0cf6a2a5-b755-f61b-23eb-6b2819724bc6,c006,001,1647846548,0,0.897907,66.686026,2000,66033.957722,1530.0,877.0,34.0,77.575
455,pagerank,1,GPU-0cf6a2a5-b755-f61b-23eb-6b2819724bc6,c006,001,1647847985,0,0.945393,66.731778,2000,66032.110808,1530.0,877.0,34.0,77.575
693,pagerank,2,GPU-0cf6a2a5-b755-f61b-23eb-6b2819724bc6,c006,001,1647848263,0,0.789199,66.589362,2000,66066.582885,1530.0,877.0,33.0,77.078
827,pagerank,3,GPU-0cf6a2a5-b755-f61b-23eb-6b2819724bc6,c006,001,1647847104,0,0.785491,66.554636,2000,66037.21127500001,1530.0,877.0,33.0,77.078
489,pagerank,2,GPU-0cf6a2a5-b755-f61b-23eb-6b2819724bc6,c006,001,1647846827,0,0.780669,66.621994,2000,66097.96732200001,1530.0,877.0,33.0,77.078
472,pagerank,4,GPU-0cf6a2a5-b755-f61b-23eb-6b2819724bc6,c006,001,1647848817,0,0.806746,66.558941,2000,66020.923796,1530.0,877.0,33.0,77.078
172,pagerank,4,GPU-0cf6a2a5-b755-f61b-23eb-6b2819724bc6,c006,001,1647847381,0,0.80004,66.609092,2000,66085.96807199999,1530.0,877.0,33.0,77.078
21,pagerank,5,GPU-0cf6a2a5-b755-f61b-23eb-6b2819724bc6,c006,001,1647847658,0,0.81921,66.601471,2000,66052.695165,1530.0,877.0,33.0,77.078
772,pagerank,5,GPU-0cf6a2a5-b755-f61b-23eb-6b2819724bc6,c006,001,1647849093,0,0.793602,66.577695,2000,66046.665494,1530.0,877.0,33.0,77.078
776,pagerank,3,GPU-0cf6a2a5-b755-f61b-23eb-6b2819724bc6,c006,001,1647848540,0,0.808432,66.620517,2000,66086.062406,1530.0,877.0,33.0,77.078
41,pagerank,3,GPU-0ef33d31-44e6-7ce2-2f82-573161a8ae6f,c008,004,1647852939,1,0.771807,66.837101,2000,66331.76521499999,1530.0,877.0,34.0,79.315
363,pagerank,2,GPU-0ef33d31-44e6-7ce2-2f82-573161a8ae6f,c008,004,1647852661,1,0.896563,66.708874,2000,66084.204773,1530.0,877.0,34.0,79.315
607,pagerank,5,GPU-0ef33d31-44e6-7ce2-2f82-573161a8ae6f,c008,004,1647853666,1,0.765374,66.6377,2000,66138.51420599999,1530.0,877.0,34.0,79.257
628,pagerank,1,GPU-0ef33d31-44e6-7ce2-2f82-573161a8ae6f,c008,004,1647852383,1,0.755374,66.627924,2000,66146.677755,1530.0,877.0,34.0,79.367
233,pagerank,4,GPU-0ef33d31-44e6-7ce2-2f82-573161a8ae6f,c008,004,1647853388,1,0.749857,66.552031,2000,66070.34082400001,1530.0,877.0,34.0,79.315
416,pagerank,2,GPU-0f84b81c-6099-b0cc-0aa8-bce437376de7,c005,004,1648045729,1,0.980008,66.584958,2000,65870.309388,1530.0,877.0,33.0,77.078
843,pagerank,5,GPU-0f84b81c-6099-b0cc-0aa8-bce437376de7,c005,004,1648046577,1,1.00745,66.749941,2000,66008.155081,1530.0,877.0,33.0,77.078
17,pagerank,1,GPU-0f84b81c-6099-b0cc-0aa8-bce437376de7,c005,004,1648045448,1,1.119169,66.865584,2000,66021.428927,1530.0,877.0,33.0,77.078
812,pagerank,4,GPU-0f84b81c-6099-b0cc-0aa8-bce437376de7,c005,004,1648046297,1,0.923919,66.710252,2000,66057.18429499998,1530.0,877.0,33.0,77.078
733,pagerank,3,GPU-0f84b81c-6099-b0cc-0aa8-bce437376de7,c005,004,1648046009,1,0.906204,66.634396,2000,65994.832623,1530.0,877.0,33.0,77.078
453,pagerank,3,GPU-0fb88eb3-507f-0fc0-3717-d56d79305a5c,c007,011,1648071483,1,0.927461,66.848961,2000,66187.66410200001,1530.0,877.0,44.0,81.167
384,pagerank,2,GPU-0fb88eb3-507f-0fc0-3717-d56d79305a5c,c007,011,1648071202,1,0.921776,67.005603,2000,66350.54321599999,1530.0,877.0,44.0,81.167
168,pagerank,5,GPU-0fb88eb3-507f-0fc0-3717-d56d79305a5c,c007,011,1648072043,1,0.938176,66.800875,2000,66139.460338,1530.0,877.0,44.0,81.167
532,pagerank,4,GPU-0fb88eb3-507f-0fc0-3717-d56d79305a5c,c007,011,1648071763,1,0.929229,66.804038,2000,66139.57385700001,1530.0,877.0,44.0,81.167
707,pagerank,1,GPU-0fb88eb3-507f-0fc0-3717-d56d79305a5c,c007,011,1648070921,1,0.929003,66.812522,2000,66156.119071,1530.0,877.0,41.0,79.7
235,pagerank,1,GPU-12e66e34-77d9-f920-d277-b2a9b82d1fc7,c009,010,1647846232,3,1.249005,67.156974,2000,66164.008214,1530.0,877.0,41.0,83.045
836,pagerank,4,GPU-12e66e34-77d9-f920-d277-b2a9b82d1fc7,c009,010,1647847072,3,1.145497,66.981682,2000,66112.234455,1530.0,877.0,42.0,83.045
587,pagerank,3,GPU-12e66e34-77d9-f920-d277-b2a9b82d1fc7,c009,010,1647846790,3,0.833893,66.725376,2000,66154.52131899999,1530.0,877.0,42.0,83.045
563,pagerank,2,GPU-12e66e34-77d9-f920-d277-b2a9b82d1fc7,c009,010,1647846512,3,0.876296,66.808244,2000,66203.24690099999,1530.0,877.0,42.0,83.045
758,pagerank,5,GPU-12e66e34-77d9-f920-d277-b2a9b82d1fc7,c009,010,1647847350,3,0.860051,66.768972,2000,66173.99743,1530.0,877.0,42.0,83.045
548,pagerank,1,GPU-147f5c4b-63c1-4a8d-812d-68b7c27dc28f,c002,005,1648052259,3,0.781627,66.648828,2000,66143.720199,1530.0,877.0,34.0,82.176
868,pagerank,3,GPU-147f5c4b-63c1-4a8d-812d-68b7c27dc28f,c002,005,1648052815,3,0.723309,66.511802,2000,66057.48327699999,1530.0,877.0,35.0,82.176
243,pagerank,5,GPU-147f5c4b-63c1-4a8d-812d-68b7c27dc28f,c002,005,1648053371,3,0.762712,66.625747,2000,66139.31868600001,1530.0,877.0,35.0,82.176
169,pagerank,2,GPU-147f5c4b-63c1-4a8d-812d-68b7c27dc28f,c002,005,1648052537,3,0.763428,66.550067,2000,66059.402207,1530.0,877.0,34.5,82.176
405,pagerank,4,GPU-147f5c4b-63c1-4a8d-812d-68b7c27dc28f,c002,005,1648053093,3,0.748698,66.449209,2000,65976.82449399999,1530.0,877.0,35.0,82.176
195,pagerank,1,GPU-169ca29a-dcc8-1dfb-dfac-c08864212ef1,c007,009,1647845165,1,0.935838,66.749047,2000,66082.52452099998,1530.0,877.0,43.0,82.688
242,pagerank,4,GPU-169ca29a-dcc8-1dfb-dfac-c08864212ef1,c007,009,1647846089,1,0.94246,66.780708,2000,66107.47535600001,1530.0,877.0,44.0,83.123
448,pagerank,3,GPU-169ca29a-dcc8-1dfb-dfac-c08864212ef1,c007,009,1647845722,1,0.949355,66.851594,2000,66174.31804299999,1530.0,877.0,44.0,83.123
527,pagerank,5,GPU-169ca29a-dcc8-1dfb-dfac-c08864212ef1,c007,009,1647846371,1,0.87949,66.669598,2000,66055.098572,1530.0,877.0,44.0,83.177
844,pagerank,2,GPU-169ca29a-dcc8-1dfb-dfac-c08864212ef1,c007,009,1647845444,1,1.106884,66.926527,2000,66085.696279,1530.0,877.0,43.0,83.12
804,pagerank,1,GPU-180172a5-55ce-6eb4-3312-63f26b255b0e,c009,005,1647845211,2,1.027511,66.95009,2000,66193.628663,1530.0,877.0,34.0,81.056
494,pagerank,4,GPU-180172a5-55ce-6eb4-3312-63f26b255b0e,c009,005,1647846088,2,0.863509,66.762011,2000,66174.278089,1530.0,877.0,34.0,81.056
