exp,job_id,ts,cabinet,node,cab-node,uuid,device,kern_min_start,kern_max_start,num_kerns,kern_sum,train_time,mean_iter_dur,perf,min_iter_dur,max_iter_dur,mean_freq,freq,min_freq,max_freq,mean_memfreq,median_memfreq,min_memfreq,max_memfreq,mean_temp,temp,min_temp,max_temp,mean_pwr,pwr,min_pwr,max_pwr
resnet,153863,1646195998,c002,4,c002-4,c002-4-1,1,26.112674,793.716184,61,236.078372,669.346049,1006.677995,419.4316536,96.38193087,19097.92271,1514.076207,1530,1312,1530,877,877,877,877,41.78014918,43,33,51,105.7082038,82.091,61.608,299.121
resnet,21519,1646113581,c002,11,c002-11,c002-11-2,2,10.343905,652.039556,24,88.159492,476.936505,713.8789057,352.5439696,95.33224721,10011.22064,1515.693231,1530,1312,1530,877,877,877,877,42.93231916,43,35,49,117.4148312,85.201,65.686,291.871
resnet,21518,1646113581,c002,11,c002-11,c002-11-1,1,10.33518,652.112778,24,83.820012,476.936505,656.6246868,342.1178199,95.45956925,11996.52032,1522.390783,1530,1312,1530,877,877,877,877,53.92134367,55,41,66,122.6274275,90.461,67.066,296.623
resnet,27006,1646211503,c002,4,c002-4,c002-4-0,0,9.487064,582.936118,60,184.829782,565.646565,784.3298213,337.8140174,96.259007,7246.252244,1521.180291,1530,1312,1530,877,877,877,877,43.54782533,44,32,51,118.6928125,88.932,65.116,307.848
resnet,43984,1646123312,c002,11,c002-11,c002-11-1,1,8.946912,543.562772,32,91.8264,495.67311,671.4422869,335.7184404,95.91842443,8358.557072,1517.907555,1530,1312,1530,877,877,877,877,54.40272393,55,40,66,121.3809623,90.461,67.022,294.88
resnet,27007,1646211503,c002,4,c002-4,c002-4-1,1,9.454322,582.911048,60,193.002365,565.646565,820.4668608,332.9641086,95.16116697,11345.32201,1522.120916,1530,1312,1530,877,877,877,877,43.06127087,44,32,50,111.0768966,82.58,62.057,297.182
resnet,21517,1646113581,c002,11,c002-11,c002-11-0,0,10.351954,652.039415,30,105.611945,476.936505,675.52552,332.3572273,96.44402098,10003.5268,1517.806186,1530,1312,1530,877,877,877,877,44.81979381,45,37,51,117.2169531,85.146,65.643,295.364
resnet,27009,1646211503,c002,4,c002-4,c002-4-3,3,9.495628,582.913002,46,148.176881,565.646565,704.6117597,322.7576585,95.76612199,11359.14932,1520.973039,1530,1312,1530,877,877,877,877,43.27789934,44,32,50,107.7195594,80.731,61.16,278.34
resnet,99689,1646204768,c002,1,c002-1,c002-1-1,1,26.360928,614.362793,32,142.356985,587.147399,817.6840372,320.6465335,95.90201802,16169.9659,1502.089427,1530,1312,1530,877,877,877,877,45.4607299,47,33,55,115.3161259,87.466,64.584,313.108
resnet,153862,1646195998,c002,4,c002-4,c002-4-0,0,26.113012,793.66776,52,188.172974,669.346049,806.358541,318.2828574,95.30811687,9358.759349,1493.695163,1530,1312,1530,877,877,877,877,42.32100592,43,34,52,111.3193593,88.501,66.052,316.298
resnet,99688,1646204768,c002,1,c002-1,c002-1-0,0,26.37345,614.357544,36,160.386055,587.147399,845.0135335,317.931178,95.72519106,12583.45961,1503.425951,1530,1312,1530,877,877,877,877,39.35804443,40,30,47,103.9619721,78.722,59.692,282.526
resnet,153864,1646195998,c002,4,c002-4,c002-4-2,2,26.112746,793.667477,38,134.744798,669.346049,728.9643723,316.4636636,97.51714999,10785.11824,1518.575722,1530,1312,1530,877,877,877,877,34.38285587,35,28,41,100.6423715,78.284,59.731,275.425
resnet,43986,1646123312,c002,11,c002-11,c002-11-3,3,8.947298,543.588375,21,58.748808,495.67311,564.3527548,314.4908892,95.2079948,7566.923182,1515.252338,1530,1312,1530,877,877,877,877,49.48790924,50,38,56,128.2234557,93.88,69.02,315.449
resnet,43983,1646123312,c002,11,c002-11,c002-11-0,0,8.948754,543.562521,39,114.415562,495.67311,656.3982692,309.2833683,96.15790285,8345.359202,1519.879554,1530,1312,1530,877,877,877,877,45.03455143,45,37,51,116.7257378,85.578,66.621,289.929
resnet,43985,1646123312,c002,11,c002-11,c002-11-2,2,8.935751,543.584129,17,51.563399,495.67311,546.1244492,308.4954028,96.2849455,9472.176324,1520.104424,1530,1312,1530,877,877,877,877,43.42680618,44,35,49,116.7457586,85.201,65.686,288.367
resnet,27008,1646211503,c002,4,c002-4,c002-4-2,2,9.486879,582.91052,32,107.685159,565.646565,617.0514511,289.4989395,96.43268213,11356.06671,1520.827731,1530,1312,1530,877,877,877,877,34.91132703,35,26,40,104.9057695,78.774,60.22,274.149
resnet,153865,1646195998,c002,4,c002-4,c002-4-3,3,26.112954,793.679346,20,74.367831,669.346049,570.1082799,281.814591,95.47971608,11789.30127,1507.707263,1530,1312,1530,877,877,877,877,42.50664305,43,34,52,101.9851883,80.678,60.71,278.523
resnet,99691,1646204768,c002,1,c002-1,c002-1-3,3,26.36237,614.355953,15,79.113896,587.147399,623.2538151,267.841395,96.011844,11730.16451,1501.030384,1530,1312,1530,877,877,877,877,45.60644728,47,34,55,110.8734992,85.079,62.627,306.798
resnet,21520,1646113581,c002,11,c002-11,c002-11-3,3,10.35249,652.039408,3,8.784981,476.936505,360.7641384,248.2233462,96.07381281,6799.970702,1509.422555,1530,1312,1530,877,877,877,877,49.05259373,50,39,57,128.4587315,93.88,69.02,317.532
