exp,input_size,reps,uuid,cabinet,node,ts,kern,kern_min_start,kern_max_start,num_kerns,perf,freq,memfreq,temp,pwr,dev_id
sgemm,25536,100,GPU-e1342d2b-9672-84a6-3f4f-793c5cec8f2f,-1,-1,1591118862,volta_sgemm_128x32_sliced1x4_nn,290.348604,533.338369,100,2454.674449,1350,877,73,296.79,0
sgemm,25536,100,GPU-ac95b335-ff60-5d01-0690-b9c32a6b8cbe,-1,-1,1591244317,volta_sgemm_128x32_sliced1x4_nn,311.044923,546.916595,100,2382.720408,1387,877,63,295.728,0
sgemm,25536,100,GPU-2ce0bf93-f10d-dc28-ccd9-9b717f694600,-1,-1,1589952841,volta_sgemm_128x32_sliced1x4_nn,290.374824,524.796166,100,2367.963929,1402,877,64,296.684,0
sgemm,25536,100,GPU-a5d73485-ce4d-9b57-d67a-e1f16e5280b6,-1,-1,1591142201,volta_sgemm_128x32_sliced1x4_nn,290.397592,532.104813,100,2441.828184,1365,877,70,296.697,0
sgemm,25536,100,GPU-4bab09d9-c2da-0e82-aadd-c52e5edbca8a,-1,-1,1591152171,volta_sgemm_128x32_sliced1x4_nn,290.705464,535.219802,100,2470.32649,1342,877,65,297.089,0
sgemm,25536,100,GPU-2fc5fbf8-ef33-bd2a-7360-caaa86db412b,-1,-1,1591154177,volta_sgemm_128x32_sliced1x4_nn,290.147833,529.109099,100,2414.576122,1372,877,74,297.47,0
sgemm,25536,100,GPU-9fcac035-3813-c4f2-f4a5-4a06108a0da6,-1,-1,1589952841,volta_sgemm_128x32_sliced1x4_nn,290.443232,533.034339,100,2450.957694,1357,877,73,296.881,0
sgemm,25536,100,GPU-0d57f2c5-6a0f-2778-1bc2-fe1ecae2ed34,-1,-1,1591073018,volta_sgemm_128x32_sliced1x4_nn,290.148004,539.150172,100,2515.399408,1320,877,70,297.758,0
sgemm,25536,100,GPU-5efed572-a323-90eb-8e51-bd26e6744236,-1,-1,1591072468,volta_sgemm_128x32_sliced1x4_nn,292.212495,533.991559,100,2442.730061,1350,877,63,297.47,0
sgemm,25536,100,GPU-6ca171d1-fbc0-7538-4b60-66e45b9ed457,-1,-1,1591141725,volta_sgemm_128x32_sliced1x4_nn,290.427795,528.255282,100,2402.594776,1380,877,68,296.79,0
sgemm,25536,100,GPU-e8706e9a-9a65-4dbc-a564-3d0dbce83ad2,-1,-1,1591225294,volta_sgemm_128x32_sliced1x4_nn,290.437205,528.149362,100,2400.971194,1387,877,50,295.626,0
sgemm,25536,100,GPU-56eb4503-d2a8-6ad3-4bbe-b3ad892f95be,-1,-1,1591196646,volta_sgemm_128x32_sliced1x4_nn,290.383206,535.508092,100,2476.501224,1335,877,72,297.758,0
sgemm,25536,100,GPU-1086e4d3-11ba-a2a2-301c-95a4945b27f2,-1,-1,1591142166,volta_sgemm_128x32_sliced1x4_nn,290.503497,534.635082,100,2466.417276,1342,877,70,296.017,0
sgemm,25536,100,GPU-9e3c1406-fa34-226b-3ded-a2fbc3c389ae,-1,-1,1591152171,volta_sgemm_128x32_sliced1x4_nn,290.515251,531.053131,100,2429.791388,1372,877,66,296.305,0
sgemm,25536,100,GPU-004a0134-1b41-cea0-0256-583c5e6e8127,-1,-1,1591072998,volta_sgemm_128x32_sliced1x4_nn,290.252865,532.245603,100,2444.863888,1350,877,71,297.378,0
sgemm,25536,100,GPU-1bc497e1-bfe9-9601-5868-a6f198ab7773,-1,-1,1591213116,volta_sgemm_128x32_sliced1x4_nn,289.788274,532.284795,100,2450.18199,1350,877,70,297.758,0
sgemm,25536,100,GPU-0c3515a1-e0b2-895e-d532-bcbf3bab2ff7,-1,-1,1591244317,volta_sgemm_128x32_sliced1x4_nn,290.172032,533.814937,100,2461.637112,1350,877,72,298.06,0
sgemm,25536,100,GPU-1ecbe249-8121-6d60-0d55-f5f69316c0cf,-1,-1,1591244318,volta_sgemm_128x32_sliced1x4_nn,291.293026,532.323844,100,2435.161796,1365,877,71,297.199,0
sgemm,25536,100,GPU-97cc4dc2-2497-4e9d-f7e3-a2c6c0bf3f69,-1,-1,1591119948,volta_sgemm_128x32_sliced1x4_nn,290.073053,530.925308,100,2433.275745,1365,877,69,296.911,0
sgemm,25536,100,GPU-99df6a7a-e5c8-3716-e808-040a4525620d,-1,-1,1591152172,volta_sgemm_128x32_sliced1x4_nn,290.458442,532.434805,100,2444.420286,1357,877,74,296.893,0
sgemm,25536,100,GPU-c18d26f0-1aab-cc8a-68ee-fb63e0b39cfc,-1,-1,1591154150,volta_sgemm_128x32_sliced1x4_nn,294.55725,536.156886,100,2440.230061,1357,877,58,297.084,0
sgemm,25536,100,GPU-aaae46f1-77f6-95e0-1b15-9840332d38d7,-1,-1,1591154890,volta_sgemm_128x32_sliced1x4_nn,290.93903,529.782942,100,2412.610929,1380,877,56,298.242,0
sgemm,25536,100,GPU-c6363c25-1911-d1fe-1c68-85a594c56f97,-1,-1,1591154791,volta_sgemm_128x32_sliced1x4_nn,290.367631,529.486237,100,2415.542327,1372,877,59,298.439,0
sgemm,25536,100,GPU-5e58c293-cd93-66ea-3997-1f57886b0f34,-1,-1,1591125232,volta_sgemm_128x32_sliced1x4_nn,290.454419,531.916808,100,2439.160214,1365,877,60,297.47,0
sgemm,25536,100,GPU-80147599-6aa7-2471-e053-25728ec0234c,-1,-1,1589952855,volta_sgemm_128x32_sliced1x4_nn,290.548724,533.503431,100,2454.082582,1357,877,61,297.758,0
sgemm,25536,100,GPU-c4cc71d1-3a76-8dae-ed02-338c103bd8b0,-1,-1,1591136361,volta_sgemm_128x32_sliced1x4_nn,290.389789,526.619581,100,2386.448786,1395,877,58,297.758,0
sgemm,25536,100,GPU-ce1f0cbf-84fd-8331-33f5-fc4db3857062,-1,-1,1591142459,volta_sgemm_128x32_sliced1x4_nn,290.577954,541.02973,100,2530.402204,1312,877,72,297.182,0
sgemm,25536,100,GPU-4e56b4d5-6e29-af0b-16ef-a62d047e8b31,-1,-1,1591125232,volta_sgemm_128x32_sliced1x4_nn,290.463369,533.56846,100,2455.351755,1350,877,55,297.182,0
sgemm,25536,100,GPU-7aa05862-a773-2b1c-3e4b-5cfc30be7841,-1,-1,1591164560,volta_sgemm_128x32_sliced1x4_nn,290.789444,530.305953,100,2419.367194,1372,877,64,296.893,0
sgemm,25536,100,GPU-ceb4c42d-7f3f-775c-db5a-79c1300cb3dc,-1,-1,1589952862,volta_sgemm_128x32_sliced1x4_nn,290.405376,534.711191,100,2468.124622,1342,877,81,294.563,0
sgemm,25536,100,GPU-88172df5-745e-4536-295c-a1ff2ae81480,-1,-1,1591118863,volta_sgemm_128x32_sliced1x4_nn,290.356376,533.31399,100,2454.218847,1357,877,56,297.696,0
sgemm,25536,100,GPU-97904f00-bbfa-c847-c025-a687193181e7,-1,-1,1591153805,volta_sgemm_128x32_sliced1x4_nn,308.779804,541.127837,100,2346.940847,1417,877,54,297.47,0
sgemm,25536,100,GPU-c8f8e0a4-d01c-3989-5e4d-43989b5c790c,-1,-1,1591153613,volta_sgemm_128x32_sliced1x4_nn,290.585547,534.943504,100,2468.68298,1342,877,71,297.077,0
sgemm,25536,100,GPU-241d93c8-c597-6a1f-a167-257bae3ef4b8,-1,-1,1591152712,volta_sgemm_128x32_sliced1x4_nn,290.588871,529.450188,100,2413.240184,1372,877,68,297.47,0
sgemm,25536,100,GPU-4eda0b7d-b7d2-5f8c-2888-13460eecefea,-1,-1,1589951691,volta_sgemm_128x32_sliced1x4_nn,290.356869,537.215659,100,2494.095724,1327,877,69,296.408,0
sgemm,25536,100,GPU-5fc67576-3dc6-066f-5c09-dcc48a478708,-1,-1,1589952836,volta_sgemm_128x32_sliced1x4_nn,290.195925,528.59689,100,2408.429694,1380,877,64,297.5,0
sgemm,25536,100,GPU-d84f5939-7ca4-0396-85a7-9916b2f47bb1,-1,-1,1591152171,volta_sgemm_128x32_sliced1x4_nn,290.835019,537.100533,100,2487.648398,1342,877,69,296.118,0
sgemm,25536,100,GPU-7613fe78-cca7-81bd-13e8-dc4926a25bae,-1,-1,1591196645,volta_sgemm_128x32_sliced1x4_nn,290.04776,533.013384,100,2454.289276,1357,877,56,296.697,0
sgemm,25536,100,GPU-241d93c8-c597-6a1f-a167-257bae3ef4b8,-1,-1,1591154889,volta_sgemm_128x32_sliced1x4_nn,290.513514,529.66012,100,2415.940541,1365,877,69,297.47,0
sgemm,25536,100,GPU-97904f00-bbfa-c847-c025-a687193181e7,-1,-1,1591119948,volta_sgemm_128x32_sliced1x4_nn,290.061596,523.109159,100,2354.126265,1417,877,57,297.955,0
