,GPU_ID,GPU_UUID,Local_GPU_ID,Node_ID,IP_addr,IN_USE,JOB_IDS,PerfVar_classA,PerfVar_classB,PerfVar_classC,PerfVar_classD
0,0,GPU-0f4b2b1e-8297-a5c6-d9f9-1c2635c4cc92,0,0,129.114.44.147,False,,1.014469743078943,1.0581973029842755,1.0581973029842755,1.0006066217454985
1,1,GPU-5586ec8e-9972-13cd-a4c1-dda2ad989dfc,1,0,129.114.44.147,False,,1.0168384304017835,1.0591437388904434,1.0591437388904434,1.0008933728706506
2,2,GPU-22cb1830-11a6-1772-8d18-2b27cd236c8f,2,0,129.114.44.147,False,,1.0166476030468545,1.054982603023615,1.054982603023615,1.0002516525004597
3,3,GPU-57961912-db52-59c7-9368-928374594f69,3,0,129.114.44.147,False,,1.020658871936173,1.0562634666205053,1.0562634666205053,0.9999650003317825
0,4,GPU-e2e63fed-8e11-55be-4b92-876abe3dda0e,0,1,129.114.44.148,False,,0.9919914062192953,1.0073771596119276,1.0073771596119276,1.0008084805847428
1,5,GPU-3aca968b-e1e0-cd6b-705b-82f5a40a3576,1,1,129.114.44.148,False,,1.0002443721594705,0.9920957558829995,0.9920957558829995,1.000325375074263
2,6,GPU-d13b519c-797c-0eef-8072-1e9b6b83e198,2,1,129.114.44.148,False,,0.988572047318885,1.0011968130804814,1.0011968130804814,1.0005261948705206
3,7,GPU-9be951b4-61ac-9efe-4a49-6745dbe5dde0,3,1,129.114.44.148,False,,0.9924216086119814,0.9971946404955361,0.9971946404955361,1.0005667175469937
0,8,GPU-6194ad26-be16-ef55-8bee-fc9b89e5fa1b,0,2,129.114.44.149,False,,0.9951440331455138,1.0032525411644557,1.0032525411644557,0.9997826359180944
1,9,GPU-b943fa68-5f2b-ac2c-ee4f-e01a2587c433,1,2,129.114.44.149,False,,0.9913918548752655,1.001597038175332,1.001597038175332,0.999941844516655
2,10,GPU-6c0e2422-aca2-235c-1470-aad46cb02148,2,2,129.114.44.149,False,,1.0031540689000855,0.9996739544115898,0.9996739544115898,0.9999294131094952
3,11,GPU-c5d53d15-34ea-e208-1363-ee1d7e1ce5aa,3,2,129.114.44.149,False,,0.9934560164945287,0.9972949766391088,0.9972949766391088,0.9998181489230255
0,12,GPU-8b39353e-133c-96d0-7b5f-4195d9c60bae,0,3,129.114.44.152,False,,1.0014373971673947,1.0052051232114605,1.0052051232114605,0.9996482406556159
1,13,GPU-d92be4b5-48ba-f741-8241-215938d18ad8,1,3,129.114.44.152,False,,1.0000630374918407,0.9912970744708145,0.9912970744708145,0.99982951654808
2,14,GPU-24aa1dec-32fe-add8-751e-4ad886e42cd7,2,3,129.114.44.152,False,,0.9893283128253365,0.9997546800740599,0.9997546800740599,0.9999610544423457
3,15,GPU-d6a67224-5da4-cd28-eae8-0728f598bfbc,3,3,129.114.44.152,False,,0.9990287918774519,1.0002654957441601,1.0002654957441601,0.9997030501731531
0,16,GPU-96f59ca5-6bd9-005a-9202-1b312e9d2047,0,4,129.114.44.154,False,,1.0576952220653217,1.0062795939812632,1.0062795939812632,0.9995015500511305
1,17,GPU-db5a76fe-5dc0-abd1-5aae-9b2a0c6d5b67,1,4,129.114.44.154,False,,1.0542094143538203,0.9958580799977714,0.9958580799977714,0.9995053351362956
2,18,GPU-5ec42052-a823-22df-2360-7446ff0c18c5,2,4,129.114.44.154,False,,1.0589066202543345,1.0010369766046345,1.0010369766046345,0.9997545817574592
3,19,GPU-445a7276-f43a-1143-7f2e-549fc5ec5cf9,3,4,129.114.44.154,False,,1.0567816154512892,0.9968873909669356,0.9968873909669356,0.9995158740008728
0,20,GPU-21713f81-a0ce-bb17-03a8-1d6a554964c6,0,5,129.114.44.153,False,,0.9962583580963456,1.0027900002465375,1.0027900002465375,1.0001986241994707
1,21,GPU-dad45960-d00e-c32f-cccb-5d6e464e6aba,1,5,129.114.44.153,False,,0.9938890733316474,0.9951673192023702,0.9951673192023702,1.0005207151557227
2,22,GPU-184cd5cd-30f3-ab6c-087e-32235d88b6d1,2,5,129.114.44.153,False,,1.000987877487968,1.0028845906618808,1.0028845906618808,1.00047416850384
3,23,GPU-eeffef8a-c5b5-54ca-5c89-74cc4d0fcb7f,3,5,129.114.44.153,False,,0.9947021695728592,0.9942713914098688,0.9942713914098688,1.0002923978290013
0,24,GPU-af0701a0-ee55-62f4-1e37-f07b74cd0924,0,6,129.114.44.151,False,,0.9948357162676776,1.0051563950701048,1.0051563950701048,0.9992988006036122
1,25,GPU-41e127b9-0b0e-32e9-5b6b-d83fe8af11ed,1,6,129.114.44.151,False,,1.004588681693389,0.9987688524850717,0.9987688524850717,0.9993228222878952
2,26,GPU-4abbc4b6-679f-e936-1f4f-2b8b6ed78b82,2,6,129.114.44.151,False,,1.006423941946973,1.001120708069403,1.001120708069403,0.9988034739684819
3,27,GPU-a03d715d-4024-81ef-a370-dc9d02d1a27b,3,6,129.114.44.151,False,,1.0088444813224242,0.9931023190299284,0.9931023190299284,0.9990312346650321
0,28,GPU-e2981715-9b3e-ad31-a9d4-21e98412c132,0,7,129.114.44.150,False,,1.1098080838626039,0.997168881273605,0.997168881273605,1.0004501468195572
1,29,GPU-6b5cf8f8-6b14-6d6e-7188-62a49ef73d49,1,7,129.114.44.150,False,,1.114756001444526,1.0012061299481267,1.0012061299481267,0.9997256617276686
2,30,GPU-5f8e0d0a-46bb-ab00-d3a4-9ab6b4f42b20,2,7,129.114.44.150,False,,1.1159146698577045,0.9982816438376776,0.9982816438376776,0.9999690822863723
3,31,GPU-43623410-8a47-f44a-5978-f99f91714d4a,3,7,129.114.44.150,False,,1.1172026881210448,1.0002354153315882,1.0002354153315882,0.999884177630905
