index,model,dataset,gpu_num,batch_size,speed,pipeline_strategy
0,resnet50,ImageNet,1,32,14.41,NA
1,vgg19,ImageNet,1,32,13.27,NA
2,DCGAN,LSUN,1,128,56.65,NA
3,PointNet,ShapeNet,1,32,1.33,NA
0,resnet50,ImageNet,2,32,30.39,NA
1,vgg19,ImageNet,2,32,26.5,NA
2,DCGAN,LSUN,2,128,104.82,NA
3,PointNet,ShapeNet,2,32,3.01,NA
4,Bert-Base,WikiText,2,256/16,0.75,"6,6"
5,Bert-Base,WikiText,2,256/16,0.82,"4,8"
6,Bert-Base,WikiText,2,256/16,0.82,"8,4"
7,Bert-Base,WikiText,2,256/16,0.85,"10,2"
8,Bert-Base,WikiText,2,256/16,0.83,"2,10"
9,Bert-Base,WikiText,2,256/32,0.9,TP24
10,Bert-Base,WikiText,2,256/16,1.45,DP24
11,GPT2,WikiText,2,512/8,0.27,"6,6"
12,GPT2,WikiText,2,512/8,0.23,"4,8"
13,GPT2,WikiText,2,512/8,0.33,"8,4"
14,GPT2,WikiText,2,512/8,0.27,"10,2"
15,GPT2,WikiText,2,512/8,0.2,"2,10"
16,GPT2,WikiText,2,512/16,0.26,TP24
17,GPT2,WikiText,2,512/8,0.34,DP24
0,resnet50,ImageNet,4,32,55.18,NA
1,vgg19,ImageNet,4,32,52.05,NA
2,DCGAN,LSUN,4,128,200.85,NA
3,PointNet,ShapeNet,4,32,11.85,NA
0,GPT2-Medium,WikiText,4,512/8,0.21,"6,6,6,6"
1,GPT2-Medium,WikiText,4,512/8,0.24,"4,8,8,4"
2,GPT2-Medium,WikiText,4,512/8,0.21,"2,8,8,6"
3,GPT2-Medium,WikiText,4,512/8,0.19,"2,10,10,2"
4,GPT2-Medium,WikiText,4,512/32,0.19,TP24
5,GPT2-Medium,WikiText,4,512/8,0.29,DP24
6,Bert-Large,WikiText,4,256/16,0.65,"6,6,6,6"
7,Bert-Large,WikiText,4,256/16,0.74,"4,8,8,4"
8,Bert-Large,WikiText,4,256/16,0.76,"2,8,8,6"
9,Bert-Large,WikiText,4,256/16,0.76,"2,10,10,2"
10,Bert-Large,WikiText,4,256/64,0.82,TP24
11,Bert-Large,WikiText,4,256/16,1.29,DP24
0,resnet50,ImageNet,8,32,111.92,NA
1,vgg19,ImageNet,8,32,102.98,NA
2,DCGAN,LSUN,8,128,372.51,NA
3,PointNet,ShapeNet,8,32,22.98,NA
4,GPT2-XL,WikiText,8,512/4,0.1,"6,6,6,6,6,6,6,6"
5,GPT2-XL,WikiText,8,512/4,0.09,"3,3,3,6,6,9,9,9"
6,GPT2-XL,WikiText,8,512/4,0.09,"3,4,5,6,6,8,8,8"
7,GPT2-XL,WikiText,8,512/4,0.11,"4,5,8,7,7,8,5,4"
8,GPT2-XL,WikiText,8,512/2,0.0,TP24
8,GPT2-XL,WikiText,8,512/2,0.08,DP24
