job_id,num_gpus,submit_time,duration,model,batch_size
0,1,51,3993,PointNet,128
1,1,59,4189,resnet50,32
2,1,171,916,DCGAN,32
3,2,257,1178,DCGAN,64
4,2,274,2618,DCGAN,64
5,1,315,3273,DCGAN,32
6,1,350,1898,resnet50,128
7,2,413,982,resnet50,128
8,1,506,1113,vgg19,128
9,1,511,1505,vgg19,128
10,8,512,785,resnet50,128
11,1,620,1113,vgg19,128
12,2,654,1178,DCGAN,32
13,1,740,1636,PointNet,32
14,2,740,3600,vgg19,128
15,1,775,6676,resnet50,32
16,2,851,6415,PointNet,128
17,2,866,1571,vgg19,128
18,1,1040,1244,PointNet,32
19,2,1179,1309,resnet50,64
20,2,1180,1964,vgg19,64
21,1,1181,1767,vgg19,128
22,2,1227,1964,resnet50,128
23,1,1394,1047,resnet50,32
24,1,1422,1702,PointNet,32
25,1,1436,3011,DCGAN,64
26,2,1468,720,PointNet,64
27,1,1469,1898,vgg19,32
28,2,1484,916,resnet50,128
29,2,1518,1833,resnet50,128
30,2,1559,1964,resnet50,64
31,4,1574,1964,resnet50,64
32,1,1589,1964,DCGAN,128
33,2,1603,7069,vgg19,128
34,1,1639,720,DCGAN,64
35,4,1659,785,vgg19,32
36,2,1660,2618,DCGAN,32
37,1,1769,3665,DCGAN,64
38,1,1817,2029,DCGAN,32
39,1,1878,2684,DCGAN,32
40,4,1890,3338,DCGAN,128
41,1,2183,3535,DCGAN,64
42,2,2300,916,PointNet,128
43,1,2307,6742,PointNet,64
44,1,2331,5825,DCGAN,64
45,1,2407,851,DCGAN,128
46,1,2481,2029,resnet50,64
47,1,2646,720,resnet50,32
48,1,2678,982,DCGAN,128
49,4,2784,1047,DCGAN,128
