job_id,num_gpus,submit_time,duration,model,batch_size
1,1,53,9447,resnet50,32
2,1,61,9971,resnet50,32
3,1,173,1244,DCGAN,64
4,2,259,1942,vgg19,32
5,2,276,5782,resnet50,32
6,1,317,7527,resnet50,32
7,1,352,3862,resnet50,32
8,2,415,1418,resnet50,32
9,1,508,1767,PointNet,32
10,1,513,2815,PointNet,32
11,8,514,895,DCGAN,64
12,1,622,1767,DCGAN,64
13,2,656,1942,DCGAN,64
14,1,742,3164,resnet50,32
15,2,742,8400,PointNet,32
16,1,777,16604,PointNet,32
17,2,853,15905,vgg19,32
18,2,868,2989,vgg19,32
19,1,1042,2116,DCGAN,128
20,2,1181,2291,resnet50,32
21,2,1182,4036,vgg19,32
22,1,1183,3513,resnet50,32
23,2,1229,4036,PointNet,32
24,1,1396,1593,DCGAN,64
25,1,1424,3338,resnet50,32
26,1,1438,6829,resnet50,32
27,2,1470,720,DCGAN,128
28,1,1471,3862,PointNet,32
29,2,1486,1244,resnet50,32
30,2,1520,3687,PointNet,32
31,2,1561,4036,resnet50,32
32,4,1576,4036,resnet50,32
33,1,1591,4036,vgg19,32
34,2,1605,17651,PointNet,32
35,1,1641,720,vgg19,32
36,4,1661,895,resnet50,32
37,2,1662,5782,DCGAN,64
38,1,1771,8575,resnet50,32
39,1,1819,4211,DCGAN,32
40,1,1880,5956,resnet50,32
41,4,1892,7702,resnet50,32
42,1,2185,8225,vgg19,32
43,2,2302,1244,PointNet,32
44,1,2309,16778,PointNet,32
45,1,2333,14335,resnet50,32
46,1,2409,1069,resnet50,32
47,1,2483,4211,DCGAN,128
48,1,2648,720,vgg19,32
49,1,2680,1418,PointNet,32
50,4,2786,1593,vgg19,32
