job_id,num_gpus,submit_time,duration,model,batch_size
1,1,19,125361,vgg19,32
2,1,27,143682,resnet50,32
3,1,139,17926,resnet50,32
4,2,225,203560,DCGAN,128
5,2,242,153223,vgg19,32
6,1,283,10010,PointNet,32
7,1,318,218782,DCGAN,128
8,8,381,32585,PointNet,32
9,1,474,25462,resnet50,32
10,1,479,40564,resnet50,32
11,8,480,92167,vgg19,32
12,1,588,23448,vgg19,32
13,8,622,723414,DCGAN,128
14,1,708,41986,vgg19,32
15,2,708,255276,resnet50,32
16,1,743,940616,DCGAN,128
17,2,819,47874,PointNet,32
18,8,834,334528,resnet50,32
19,1,1008,30491,resnet50,32
20,4,1147,2955,Bert-Large,32
21,2,1148,12148,PointNet,32
22,1,1149,4672,PointNet,32
23,4,1195,810630,DCGAN,128
24,1,1362,90243,DCGAN,128
25,1,1390,44295,vgg19,32
