job_id,num_gpus,submit_time,duration,model,batch_size
1,1,84,136131,resnet50,32
2,1,92,564857,DCGAN,128
3,1,204,17926,resnet50,32
4,2,290,660,GPT2,32
5,2,307,17403,PointNet,32
6,1,348,426404,DCGAN,128
7,1,383,218782,DCGAN,128
8,2,446,37577,vgg19,32
9,1,539,23448,vgg19,32
10,1,544,40564,resnet50,32
11,8,545,92167,vgg19,32
12,1,653,100100,DCGAN,128
13,2,687,5845,PointNet,32
14,1,773,4208,PointNet,32
15,2,773,12180,Bert-Base,32
16,1,808,22083,PointNet,32
17,2,884,1667162,DCGAN,128
18,2,899,4334,Bert-Base,32
19,1,1073,119871,DCGAN,128
20,2,1212,778,GPT2,32
21,2,1213,12148,PointNet,32
22,1,1214,46617,vgg19,32
23,2,1260,5852,Bert-Base,32
24,1,1427,90243,DCGAN,128
25,1,1455,4439,PointNet,32
26,1,1469,9082,PointNet,32
27,2,1501,1044,Bert-Base,32
28,1,1502,5136,PointNet,32
29,2,1517,1803,Bert-Base,32
30,2,1551,5346,Bert-Base,32
31,2,1592,122654,resnet50,32
32,4,1607,5206,Bert-Large,32
33,1,1622,58158,resnet50,32
34,2,1636,53129,PointNet,32
35,1,1672,10375,resnet50,32
36,4,1692,10605,PointNet,32
37,2,1693,17403,PointNet,32
38,1,1802,113790,vgg19,32
39,1,1850,5600,PointNet,32
40,1,1911,85825,resnet50,32
41,4,1923,9935,Bert-Large,32
42,1,2216,118522,resnet50,32
43,2,2333,422,GPT2,32
44,1,2340,950473,DCGAN,128
45,1,2364,206567,resnet50,32
46,1,2440,15404,resnet50,32
47,1,2514,5600,PointNet,32
48,1,2679,40788,DCGAN,128
49,1,2711,80329,DCGAN,128
50,4,2817,82915,vgg19,32
51,2,2883,5318,PointNet,32
52,4,2904,16015,Bert-Large,32
53,2,2957,349889,DCGAN,128
54,8,3085,539,GPT2-XL,32
55,2,3197,778,GPT2,32
56,1,3239,85825,resnet50,32
57,2,3292,2974,GPT2,32
58,4,3294,1154,Bert-Large,32
59,4,3310,259,GPT2-Medium,32
60,1,3405,234234,resnet50,32
61,2,3437,17403,PointNet,32
62,1,3448,17926,resnet50,32
63,2,3495,600,GPT2,32
64,1,3567,38042,resnet50,32
65,1,3634,45593,resnet50,32
66,1,3662,55651,resnet50,32
67,2,3696,12939,Bert-Base,32
68,4,3738,37476,vgg19,32
69,1,3828,377005,DCGAN,128
70,2,3872,3744,PointNet,32
71,1,3901,15350,PointNet,32
72,1,3941,139642,DCGAN,128
73,1,3942,3511,PointNet,32
74,2,3944,482,GPT2,32
75,2,4016,185216,DCGAN,128
76,1,4261,20433,resnet50,32
77,2,4314,349889,DCGAN,128
78,1,4344,70472,DCGAN,128
79,2,4355,295068,DCGAN,128
80,1,4396,891161,DCGAN,128
81,2,4637,56074,vgg19,32
82,4,4725,635489,DCGAN,128
83,1,4771,386862,DCGAN,128
84,8,4889,176991,PointNet,32
85,1,4904,6297,PointNet,32
86,1,4947,44295,vgg19,32
87,1,5129,93376,resnet50,32
88,1,5180,46617,vgg19,32
89,1,5216,208868,DCGAN,128
90,1,5234,2118,PointNet,32
91,2,5281,6895,PointNet,32
92,1,5469,6297,PointNet,32
93,1,5469,40788,DCGAN,128
94,2,5560,2309,Bert-Base,32
95,1,5663,238553,DCGAN,128
96,4,5793,4756,Bert-Large,32
97,2,5873,11624,PointNet,32
98,1,5972,6528,PointNet,32
99,1,6015,15404,resnet50,32
100,1,6064,4672,PointNet,32
101,2,6097,3744,PointNet,32
102,1,6100,1421,PointNet,32
103,1,6222,32710,vgg19,32
104,2,6272,8996,PointNet,32
105,4,6285,182851,vgg19,32
106,1,6327,234234,resnet50,32
107,1,6366,33013,resnet50,32
108,2,6392,441397,DCGAN,128
109,1,6417,35520,resnet50,32
110,1,6463,51248,vgg19,32
111,4,6521,1777,GPT2-Medium,32
112,1,6577,14185,vgg19,32
113,1,6613,1421,PointNet,32
114,1,6614,1654,PointNet,32
115,1,6629,1654,PointNet,32
116,1,6640,55651,resnet50,32
117,1,6692,224966,vgg19,32
118,2,6810,1253,GPT2,32
119,2,6906,404814,DCGAN,128
120,1,7001,4208,PointNet,32
