job_id,num_gpus,submit_time,duration,model,batch_size
0,12,44,1841,PointNet,4096
1,16,115,51,PointNet,4096
2,6,138,653,DCGAN,320
3,16,165,2015,PointNet,4096
4,1,166,946,vgg19,32768
5,1,217,1671,vgg19,32768
6,12,224,917,PointNet,4096
7,1,409,801,vgg19,32768
8,4,504,3229,resnet50,64
9,16,536,1677,PointNet,4096
10,16,536,3651,resnet50,6400
11,8,567,937,PointNet,2048
12,12,629,2259,DCGAN,640
13,16,758,90,PointNet,4096
14,12,841,1501,DCGAN,640
15,8,998,1540,DCGAN,320
16,12,1057,926,PointNet,4096
17,16,1076,150,PointNet,4096
18,8,1151,37,PointNet,2048
19,1,1260,1453,vgg19,32768
20,12,1276,1938,DCGAN,640
21,12,1293,768,PointNet,4096
22,8,1332,40,PointNet,2048
23,1,1332,37,vgg19,32768
24,16,1376,164,PointNet,4096
25,1,1378,1552,vgg19,32768
26,6,1388,1574,DCGAN,320
27,8,1459,985,PointNet,2048
28,12,1467,602,PointNet,4096
29,1,1497,1194,vgg19,32768
30,6,1517,3649,DCGAN,320
31,12,1542,1819,DCGAN,640
32,1,1549,684,vgg19,32768
33,12,1554,667,PointNet,4096
34,16,1604,3883,resnet50,6400
35,1,1610,449,vgg19,32768
36,8,1622,578,PointNet,2048
37,8,1639,161,PointNet,2048
38,12,1678,737,PointNet,4096
39,1,1706,589,vgg19,32768
40,1,1719,587,vgg19,32768
41,1,1784,586,vgg19,32768
42,8,1815,961,PointNet,2048
43,12,1915,45,PointNet,4096
44,1,1915,40,vgg19,32768
45,8,1915,41,PointNet,2048
46,1,1916,39,vgg19,32768
47,1,1941,787,vgg19,32768
48,1,1956,1128,vgg19,32768
49,1,2166,713,vgg19,32768
50,16,2172,946,PointNet,4096
51,8,2181,636,PointNet,2048
52,8,2235,1517,PointNet,2048
53,1,2287,711,vgg19,32768
54,8,2310,900,PointNet,2048
55,8,2392,4426,DCGAN,320
56,1,2515,34,vgg19,32768
57,8,2515,39,PointNet,2048
58,1,2515,39,vgg19,32768
59,16,2532,41,PointNet,4096
60,12,2577,95,DCGAN,640
61,6,2665,2224,PointNet,2048
62,6,2730,1097,PointNet,2048
63,6,2774,71,PointNet,2048
64,6,2801,1733,PointNet,2048
65,1,2952,1137,vgg19,32768
66,8,2963,1614,PointNet,2048
67,16,2995,3430,resnet50,3200
68,1,3025,1542,vgg19,32768
69,6,3027,2079,DCGAN,320
70,16,3035,1842,PointNet,4096
71,6,3107,646,PointNet,2048
72,16,3115,40,PointNet,4096
73,8,3131,43,PointNet,2048
74,12,3176,793,DCGAN,640
75,8,3177,1448,PointNet,2048
76,1,3200,1628,vgg19,32768
77,8,3215,1314,PointNet,2048
78,1,3216,837,vgg19,32768
79,16,3301,2188,resnet50,6400
80,1,3420,1599,vgg19,32768
81,1,3431,904,vgg19,32768
82,1,3532,1438,vgg19,32768
83,1,3564,340,vgg19,32768
84,12,3565,968,PointNet,4096
85,1,3655,1903,vgg19,32768
86,12,3656,1066,DCGAN,640
87,16,3657,479,PointNet,4096
88,8,3683,1365,PointNet,2048
89,1,3715,37,vgg19,32768
90,6,3751,1442,PointNet,2048
91,1,3755,1527,vgg19,32768
92,1,3756,453,vgg19,32768
93,1,3840,1524,vgg19,32768
94,12,3969,1889,PointNet,4096
95,6,3998,1420,PointNet,2048
96,1,4042,646,vgg19,32768
97,1,4057,915,vgg19,32768
98,1,4089,750,vgg19,32768
99,4,4146,4913,resnet50,64
100,16,4186,1128,PointNet,4096
101,12,4199,1357,PointNet,4096
102,16,4230,309,PointNet,4096
103,8,4258,195,PointNet,2048
104,16,4311,137,PointNet,4096
105,1,4315,38,vgg19,32768
106,12,4325,893,PointNet,4096
107,1,4339,482,vgg19,32768
108,1,4358,80,vgg19,32768
109,1,4369,1125,vgg19,32768
110,6,4371,282,PointNet,2048
111,1,4379,53,vgg19,32768
112,6,4385,1908,PointNet,2048
113,6,4403,1486,DCGAN,320
114,1,4445,1159,vgg19,32768
115,8,4456,215,PointNet,2048
116,12,4548,1259,PointNet,4096
117,1,4577,530,vgg19,32768
118,1,4627,77,vgg19,32768
119,16,4688,195,PointNet,4096
120,1,4746,794,vgg19,32768
121,8,4750,780,PointNet,2048
122,6,4833,946,PointNet,2048
123,12,4848,1655,PointNet,4096
124,16,4864,407,PointNet,4096
125,8,5004,546,PointNet,2048
126,6,5066,42,PointNet,2048
127,8,5129,152,PointNet,2048
128,8,5131,153,PointNet,2048
129,4,5311,4360,resnet50,64
130,12,5324,670,PointNet,4096
131,8,5331,650,DCGAN,320
132,1,5389,1423,vgg19,32768
133,8,5402,703,DCGAN,320
134,6,5471,242,PointNet,2048
135,1,5474,210,vgg19,32768
136,6,5578,1270,PointNet,2048
137,6,5602,1002,PointNet,2048
138,12,5604,112,PointNet,4096
139,1,5704,272,vgg19,32768
140,8,5761,4161,DCGAN,320
141,16,5798,965,PointNet,4096
142,12,5812,197,PointNet,4096
143,1,5869,183,vgg19,32768
144,12,5923,161,PointNet,4096
145,1,6042,42,vgg19,32768
146,12,6115,42,PointNet,4096
147,6,6115,47,PointNet,2048
148,1,6131,35,vgg19,32768
149,1,6136,140,vgg19,32768
150,1,6184,34,vgg19,32768
151,1,6199,126,vgg19,32768
152,1,6286,490,vgg19,32768
153,8,6314,1368,DCGAN,320
154,12,6466,60,PointNet,4096
155,1,6527,35,vgg19,32768
156,1,6715,451,vgg19,32768
157,1,6715,40,vgg19,32768
158,1,6864,712,vgg19,32768
159,1,7170,152,vgg19,32768
