0,gnmt,35,32,1
1,res50,520,12869,4
2,gnmt,1198,32,1
3,transformer,1270,1589,12
4,deepspeech,1303,3500,8
5,gnmt,1497,32,1
6,res18,1519,573,12
7,gnmt,1619,32,1
8,gnmt,1858,32,1
9,gnmt,2017,32,1
10,res18,2254,854,6
11,gnmt,2749,32,1
12,res18,2911,449,16
13,gnmt,3134,32,1
14,res18,3208,573,12
15,gnmt,3421,32,1
16,gnmt,3565,32,1
17,res18,3732,573,12
18,res18,4316,449,16
19,res18,4692,854,6
20,res18,4702,449,16
21,gnmt,5256,32,1
22,gnmt,5430,32,1
23,res18,5500,573,12
24,gnmt,5611,32,1
25,res18,5707,826,8
26,alexnet,5774,18879,48
27,res18,5801,573,12
28,gnmt,5854,32,1
29,res18,5884,854,6
30,gnmt,7110,32,1
31,res18,7347,826,8
32,res50,7562,12869,4
33,gnmt,7626,32,1
34,deepspeech,7858,4153,6
35,gnmt,7906,32,1
36,res50,8037,12869,4
37,res18,8313,826,8
38,gnmt,9268,32,1
39,gnmt,9311,32,1
40,res50,9391,12869,4
41,gnmt,9513,32,1
42,gnmt,9582,32,1
43,gnmt,9612,32,1
44,gnmt,9715,32,1
45,res18,10317,826,8
46,res18,10392,573,12
47,res18,10660,449,16
48,res18,10737,449,16
49,res18,10859,449,16
50,gnmt,11060,32,1
51,res18,11782,826,8
52,deepspeech,12205,4153,6
53,gnmt,12379,32,1
54,res18,12421,449,16
55,gnmt,12712,32,1
56,gnmt,13106,32,1
57,gnmt,13457,32,1
58,gnmt,13554,32,1
59,res18,13734,854,6
60,gnmt,13797,32,1
61,res18,13938,854,6
62,res50,14090,12869,4
63,gnmt,14186,32,1
64,res18,14205,854,6
65,gnmt,14245,32,1
66,transformer,14499,1589,12
67,res18,14623,573,12
68,res18,14715,826,8
69,deepspeech,14737,2572,12
70,gnmt,14871,32,1
71,gnmt,14932,32,1
72,deepspeech,14937,2572,12
73,deepspeech,14992,2572,12
74,res18,15132,573,12
75,res50,15245,12869,4
76,res18,15340,854,6
77,gnmt,15735,32,1
78,res18,15779,826,8
79,res18,15835,854,6
80,transformer,15863,2480,8
81,res18,16026,854,6
82,gnmt,16067,32,1
83,transformer,16077,1334,16
84,transformer,16142,1334,16
85,deepspeech,16332,3500,8
86,res18,16381,826,8
87,res18,16588,826,8
88,gnmt,16610,32,1
89,transformer,17011,3055,6
90,transformer,17109,3055,6
91,deepspeech,17238,2572,12
92,deepspeech,17277,2572,12
93,res18,17414,449,16
94,transformer,17521,2480,8
95,gnmt,17749,32,1
96,res18,17866,449,16
97,transformer,18060,1589,12
98,res18,18115,449,16
99,res18,18139,826,8
100,res18,18211,854,6
101,gnmt,18244,32,1
102,gnmt,18284,32,1
103,res50,18385,12869,4
104,res18,18415,573,12
105,res18,18549,573,12
106,res18,18711,573,12
107,res18,18744,449,16
108,gnmt,18800,32,1
109,deepspeech,18851,2572,12
110,gnmt,18853,32,1
111,transformer,18925,1334,16
112,gnmt,19084,32,1
113,res18,19141,826,8
114,res18,19260,854,6
115,gnmt,19331,32,1
116,res18,19492,449,16
117,deepspeech,19595,2572,12
118,gnmt,19915,32,1
119,res18,20057,449,16
120,res18,20362,449,16
121,res18,20530,573,12
122,gnmt,20531,32,1
123,gnmt,20531,32,1
124,res18,20548,573,12
125,res18,20673,573,12
126,res18,20694,854,6
127,res18,20742,573,12
128,res18,20884,449,16
129,gnmt,20937,32,1
130,res18,21132,449,16
131,gnmt,21335,32,1
132,gnmt,21487,32,1
133,res50,21615,12869,4
134,gnmt,21680,32,1
135,gnmt,21732,32,1
136,res18,21813,826,8
137,gnmt,21894,32,1
138,res18,22042,449,16
139,alexnet,22196,31395,24
140,transformer,22968,1589,12
141,res18,23480,573,12
142,res18,23609,854,6
143,res18,23641,826,8
144,deepspeech,24063,3500,8
145,res18,24115,854,6
146,deepspeech,24140,2572,12
147,deepspeech,24263,4153,6
148,res18,24918,826,8
149,res18,25240,826,8
150,gnmt,25553,32,1
151,gnmt,25640,32,1
152,res18,25661,826,8
153,res18,25690,573,12
154,deepspeech,26246,2572,12
155,res18,26565,449,16
156,transformer,27082,2480,8
157,alexnet,27176,31395,24
158,deepspeech,27744,4153,6
159,deepspeech,28253,2572,12
160,gnmt,28288,32,1
161,res50,28773,12869,4
162,gnmt,29451,32,1
163,transformer,29523,1589,12
164,deepspeech,29556,3500,8
165,gnmt,29750,32,1
166,res18,29772,573,12
167,gnmt,29872,32,1
168,gnmt,30111,32,1
169,gnmt,30270,32,1
170,res18,30507,854,6
171,gnmt,31002,32,1
172,res18,31164,449,16
173,gnmt,31387,32,1
174,res18,31461,573,12
175,gnmt,31674,32,1
176,gnmt,31818,32,1
177,res18,31985,573,12
178,res18,32569,449,16
179,res18,32945,854,6
180,res18,32955,449,16
181,gnmt,33509,32,1
182,gnmt,33683,32,1
183,res18,33753,573,12
184,gnmt,33864,32,1
185,res18,33960,826,8
186,alexnet,34027,18879,48
187,res18,34054,573,12
188,gnmt,34107,32,1
189,res18,34137,854,6
190,gnmt,35363,32,1
191,res18,35600,826,8
192,res50,35815,12869,4
193,gnmt,35879,32,1
194,deepspeech,36111,4153,6
195,gnmt,36159,32,1
196,res50,36290,12869,4
197,res18,36566,826,8
198,gnmt,37521,32,1
199,gnmt,37564,32,1
200,res50,37644,12869,4
201,gnmt,37766,32,1
202,gnmt,37835,32,1
203,gnmt,37865,32,1
204,gnmt,37968,32,1
205,res18,38570,826,8
206,res18,38645,573,12
207,res18,38913,449,16
208,res18,38990,449,16
209,res18,39112,449,16
210,gnmt,39313,32,1
211,res18,40035,826,8
212,deepspeech,40458,4153,6
213,gnmt,40632,32,1
214,res18,40674,449,16
215,gnmt,40965,32,1
216,gnmt,41359,32,1
217,gnmt,41710,32,1
218,gnmt,41807,32,1
219,res18,41987,854,6
220,gnmt,42050,32,1
221,res18,42191,854,6
222,res50,42343,12869,4
223,gnmt,42439,32,1
224,res18,42458,854,6
225,gnmt,42498,32,1
226,transformer,42752,1589,12
227,res18,42876,573,12
228,res18,42968,826,8
229,deepspeech,42990,2572,12
230,gnmt,43124,32,1
231,gnmt,43185,32,1
232,deepspeech,43190,2572,12
233,deepspeech,43245,2572,12
234,res18,43385,573,12
235,res50,43498,12869,4
236,res18,43593,854,6
237,gnmt,43988,32,1
238,res18,44032,826,8
239,res18,44088,854,6
240,transformer,44116,2480,8
241,res18,44279,854,6
242,gnmt,44320,32,1
243,transformer,44330,1334,16
244,transformer,44395,1334,16
245,deepspeech,44585,3500,8
246,res18,44634,826,8
247,res18,44841,826,8
248,gnmt,44863,32,1
249,transformer,45264,3055,6
250,transformer,45362,3055,6
251,deepspeech,45491,2572,12
252,deepspeech,45530,2572,12
253,res18,45667,449,16
254,transformer,45774,2480,8
255,gnmt,46002,32,1
256,res18,46119,449,16
257,transformer,46313,1589,12
258,res18,46368,449,16
259,res18,46392,826,8
260,res18,46464,854,6
261,gnmt,46497,32,1
262,gnmt,46537,32,1
263,res50,46638,12869,4
264,res18,46668,573,12
265,res18,46802,573,12
266,res18,46964,573,12
267,res18,46997,449,16
268,gnmt,47053,32,1
269,deepspeech,47104,2572,12
270,gnmt,47106,32,1
271,transformer,47178,1334,16
272,gnmt,47337,32,1
273,res18,47394,826,8
274,res18,47513,854,6
275,gnmt,47584,32,1
276,res18,47745,449,16
277,deepspeech,47848,2572,12
278,gnmt,48168,32,1
279,res18,48310,449,16
280,res18,48615,449,16
281,res18,48783,573,12
282,gnmt,48784,32,1
283,gnmt,48784,32,1
284,res18,48801,573,12
285,res18,48926,573,12
286,res18,48947,854,6
287,res18,48995,573,12
288,res18,49137,449,16
289,gnmt,49190,32,1
290,res18,49385,449,16
291,gnmt,49588,32,1
292,gnmt,49740,32,1
293,res50,49868,12869,4
294,gnmt,49933,32,1
295,gnmt,49985,32,1
296,res18,50066,826,8
297,gnmt,50147,32,1
298,res18,50295,449,16
299,alexnet,50449,31395,24
300,transformer,51221,1589,12
301,res18,51733,573,12
302,res18,51862,854,6
303,res18,51894,826,8
304,deepspeech,52316,3500,8
305,res18,52368,854,6
306,deepspeech,52393,2572,12
307,deepspeech,52516,4153,6
308,res18,53171,826,8
309,res18,53493,826,8
310,gnmt,53806,32,1
311,gnmt,53893,32,1
312,res18,53914,826,8
313,res18,53943,573,12
314,deepspeech,54499,2572,12
315,res18,54818,449,16
316,transformer,55335,2480,8
317,alexnet,55429,31395,24
318,deepspeech,55997,4153,6
319,deepspeech,56506,2572,12
320,gnmt,56541,32,1
321,res50,57026,12869,4
322,gnmt,57704,32,1
323,transformer,57776,1589,12
324,deepspeech,57809,3500,8
325,gnmt,58003,32,1
326,res18,58025,573,12
327,gnmt,58125,32,1
328,gnmt,58364,32,1
329,gnmt,58523,32,1
330,res18,58760,854,6
331,gnmt,59255,32,1
332,res18,59417,449,16
333,gnmt,59640,32,1
334,res18,59714,573,12
335,gnmt,59927,32,1
336,gnmt,60071,32,1
337,res18,60238,573,12
338,res18,60822,449,16
339,res18,61198,854,6
340,res18,61208,449,16
341,gnmt,61762,32,1
342,gnmt,61936,32,1
343,res18,62006,573,12
344,gnmt,62117,32,1
345,res18,62213,826,8
346,alexnet,62280,18879,48
347,res18,62307,573,12
348,gnmt,62360,32,1
349,res18,62390,854,6
350,gnmt,63616,32,1
351,res18,63853,826,8
352,res50,64068,12869,4
353,gnmt,64132,32,1
354,deepspeech,64364,4153,6
355,gnmt,64412,32,1
356,res50,64543,12869,4
357,res18,64819,826,8
358,gnmt,65774,32,1
359,gnmt,65817,32,1
360,res50,65897,12869,4
361,gnmt,66019,32,1
362,gnmt,66088,32,1
363,gnmt,66118,32,1
364,gnmt,66221,32,1
365,res18,66823,826,8
366,res18,66898,573,12
367,res18,67166,449,16
368,res18,67243,449,16
369,res18,67365,449,16
370,gnmt,67566,32,1
371,res18,68288,826,8
372,deepspeech,68711,4153,6
373,gnmt,68885,32,1
374,res18,68927,449,16
375,gnmt,69218,32,1
376,gnmt,69612,32,1
377,gnmt,69963,32,1
378,gnmt,70060,32,1
379,res18,70240,854,6
380,gnmt,70303,32,1
381,res18,70444,854,6
382,res50,70596,12869,4
383,gnmt,70692,32,1
384,res18,70711,854,6
385,gnmt,70751,32,1
386,transformer,71005,1589,12
387,res18,71129,573,12
388,res18,71221,826,8
389,deepspeech,71243,2572,12
390,gnmt,71377,32,1
391,gnmt,71438,32,1
392,deepspeech,71443,2572,12
393,deepspeech,71498,2572,12
394,res18,71638,573,12
395,res50,71751,12869,4
396,res18,71846,854,6
397,gnmt,72241,32,1
398,res18,72285,826,8
399,res18,72341,854,6
400,transformer,72369,2480,8
401,res18,72532,854,6
402,gnmt,72573,32,1
403,transformer,72583,1334,16
404,transformer,72648,1334,16
405,deepspeech,72838,3500,8
406,res18,72887,826,8
407,res18,73094,826,8
408,gnmt,73116,32,1
409,transformer,73517,3055,6
410,transformer,73615,3055,6
411,deepspeech,73744,2572,12
412,deepspeech,73783,2572,12
413,res18,73920,449,16
414,transformer,74027,2480,8
415,gnmt,74255,32,1
416,res18,74372,449,16
417,transformer,74566,1589,12
418,res18,74621,449,16
419,res18,74645,826,8
420,res18,74717,854,6
421,gnmt,74750,32,1
422,gnmt,74790,32,1
423,res50,74891,12869,4
424,res18,74921,573,12
425,res18,75055,573,12
426,res18,75217,573,12
427,res18,75250,449,16
428,gnmt,75306,32,1
429,deepspeech,75357,2572,12
430,gnmt,75359,32,1
431,transformer,75431,1334,16
432,gnmt,75590,32,1
433,res18,75647,826,8
434,res18,75766,854,6
435,gnmt,75837,32,1
436,res18,75998,449,16
437,deepspeech,76101,2572,12
438,gnmt,76421,32,1
439,res18,76563,449,16
440,res18,76868,449,16
441,res18,77036,573,12
442,gnmt,77037,32,1
443,gnmt,77037,32,1
444,res18,77054,573,12
445,res18,77179,573,12
446,res18,77200,854,6
447,res18,77248,573,12
448,res18,77390,449,16
449,gnmt,77443,32,1
450,res18,77638,449,16
451,gnmt,77841,32,1
452,gnmt,77993,32,1
453,res50,78121,12869,4
454,gnmt,78186,32,1
455,gnmt,78238,32,1
456,res18,78319,826,8
457,gnmt,78400,32,1
458,res18,78548,449,16
459,alexnet,78702,31395,24
460,transformer,79474,1589,12
461,res18,79986,573,12
462,res18,80115,854,6
463,res18,80147,826,8
464,deepspeech,80569,3500,8
465,res18,80621,854,6
466,deepspeech,80646,2572,12
467,deepspeech,80769,4153,6
468,res18,81424,826,8
469,res18,81746,826,8
470,gnmt,82059,32,1
471,gnmt,82146,32,1
472,res18,82167,826,8
473,res18,82196,573,12
474,deepspeech,82752,2572,12
475,res18,83071,449,16
476,transformer,83588,2480,8
477,alexnet,83682,31395,24
478,deepspeech,84250,4153,6
479,deepspeech,84759,2572,12
480,gnmt,84794,32,1
481,res50,85279,12869,4
482,gnmt,85957,32,1
483,transformer,86029,1589,12
484,deepspeech,86062,3500,8
485,gnmt,86256,32,1
486,res18,86278,573,12
487,gnmt,86378,32,1
488,gnmt,86617,32,1
489,gnmt,86776,32,1
490,res18,87013,854,6
491,gnmt,87508,32,1
492,res18,87670,449,16
493,gnmt,87893,32,1
494,res18,87967,573,12
495,gnmt,88180,32,1
496,gnmt,88324,32,1
497,res18,88491,573,12
498,res18,89075,449,16
499,res18,89451,854,6
500,res18,89461,449,16
501,gnmt,90015,32,1
502,gnmt,90189,32,1
503,res18,90259,573,12
504,gnmt,90370,32,1
505,res18,90466,826,8
506,alexnet,90533,18879,48
507,res18,90560,573,12
508,gnmt,90613,32,1
509,res18,90643,854,6
510,gnmt,91869,32,1
511,res18,92106,826,8
512,res50,92321,12869,4
513,gnmt,92385,32,1
514,deepspeech,92617,4153,6
515,gnmt,92665,32,1
516,res50,92796,12869,4
517,res18,93072,826,8
518,gnmt,94027,32,1
519,gnmt,94070,32,1
520,res50,94150,12869,4
521,gnmt,94272,32,1
522,gnmt,94341,32,1
523,gnmt,94371,32,1
524,gnmt,94474,32,1
525,res18,95076,826,8
526,res18,95151,573,12
527,res18,95419,449,16
528,res18,95496,449,16
529,res18,95618,449,16
530,gnmt,95819,32,1
531,res18,96541,826,8
532,deepspeech,96964,4153,6
533,gnmt,97138,32,1
534,res18,97180,449,16
535,gnmt,97471,32,1
536,gnmt,97865,32,1
537,gnmt,98216,32,1
538,gnmt,98313,32,1
539,res18,98493,854,6
540,gnmt,98556,32,1
541,res18,98697,854,6
542,res50,98849,12869,4
543,gnmt,98945,32,1
544,res18,98964,854,6
545,gnmt,99004,32,1
546,transformer,99258,1589,12
547,res18,99382,573,12
548,res18,99474,826,8
549,deepspeech,99496,2572,12
550,gnmt,99630,32,1
551,gnmt,99691,32,1
552,deepspeech,99696,2572,12
553,deepspeech,99751,2572,12
554,res18,99891,573,12
555,res50,100004,12869,4
556,res18,100099,854,6
557,gnmt,100494,32,1
558,res18,100538,826,8
559,res18,100594,854,6
560,transformer,100622,2480,8
561,res18,100785,854,6
562,gnmt,100826,32,1
563,transformer,100836,1334,16
564,transformer,100901,1334,16
565,deepspeech,101091,3500,8
566,res18,101140,826,8
567,res18,101347,826,8
568,gnmt,101369,32,1
569,transformer,101770,3055,6
570,transformer,101868,3055,6
571,deepspeech,101997,2572,12
572,deepspeech,102036,2572,12
573,res18,102173,449,16
574,transformer,102280,2480,8
575,gnmt,102508,32,1
576,res18,102625,449,16
577,transformer,102819,1589,12
578,res18,102874,449,16
579,res18,102898,826,8
580,res18,102970,854,6
581,gnmt,103003,32,1
582,gnmt,103043,32,1
583,res50,103144,12869,4
584,res18,103174,573,12
585,res18,103308,573,12
586,res18,103470,573,12
587,res18,103503,449,16
588,gnmt,103559,32,1
589,deepspeech,103610,2572,12
590,gnmt,103612,32,1
591,transformer,103684,1334,16
592,gnmt,103843,32,1
593,res18,103900,826,8
594,res18,104019,854,6
595,gnmt,104090,32,1
596,res18,104251,449,16
597,deepspeech,104354,2572,12
598,gnmt,104674,32,1
599,res18,104816,449,16
600,res18,105121,449,16
601,res18,105289,573,12
602,gnmt,105290,32,1
603,gnmt,105290,32,1
604,res18,105307,573,12
605,res18,105432,573,12
606,res18,105453,854,6
607,res18,105501,573,12
608,res18,105643,449,16
609,gnmt,105696,32,1
610,res18,105891,449,16
611,gnmt,106094,32,1
612,gnmt,106246,32,1
613,res50,106374,12869,4
614,gnmt,106439,32,1
615,gnmt,106491,32,1
616,res18,106572,826,8
617,gnmt,106653,32,1
618,res18,106801,449,16
619,alexnet,106955,31395,24
620,transformer,107727,1589,12
621,res18,108239,573,12
622,res18,108368,854,6
623,res18,108400,826,8
624,deepspeech,108822,3500,8
625,res18,108874,854,6
626,deepspeech,108899,2572,12
627,deepspeech,109022,4153,6
628,res18,109677,826,8
629,res18,109999,826,8
630,gnmt,110312,32,1
631,gnmt,110399,32,1
632,res18,110420,826,8
633,res18,110449,573,12
634,deepspeech,111005,2572,12
635,res18,111324,449,16
636,transformer,111841,2480,8
637,alexnet,111935,31395,24
638,deepspeech,112503,4153,6
639,deepspeech,113012,2572,12
640,gnmt,113047,32,1
641,res50,113532,12869,4
642,gnmt,114210,32,1
643,transformer,114282,1589,12
644,deepspeech,114315,3500,8
645,gnmt,114509,32,1
646,res18,114531,573,12
647,gnmt,114631,32,1
648,gnmt,114870,32,1
649,gnmt,115029,32,1
650,res18,115266,854,6
651,gnmt,115761,32,1
652,res18,115923,449,16
653,gnmt,116146,32,1
654,res18,116220,573,12
655,gnmt,116433,32,1
656,gnmt,116577,32,1
657,res18,116744,573,12
658,res18,117328,449,16
659,res18,117704,854,6
660,res18,117714,449,16
