job_id,num_gpus,submit_time,duration,model
0,1,133,75.0,vgg19
1,1,452,3070.0,vgg19
2,1,558,2728.0,vgg19
3,1,1213,2064.0,vgg19
4,12,1261,9370.0,BERT
5,16,1332,66.0,PointNet
6,6,1379,3329.0,PointNet
7,1,1498,1529.0,vgg19
8,1,1500,2117.0,vgg19
9,1,1538,2347.0,vgg19
10,12,1544,1413.0,PointNet
11,1,1582,939.0,vgg19
12,1,1651,1470.0,vgg19
13,1,1729,2004.0,vgg19
14,8,1797,1505.0,PointNet
15,6,1885,1207.0,PointNet
16,48,2177,1152159.0,resnet50
17,4,2192,89623.0,resnet50
18,12,2286,2146.0,PointNet
19,6,2405,2588.0,PointNet
20,12,2482,3830.0,BERT
21,1,2530,121.0,vgg19
22,6,2723,23886.0,DCGAN
23,12,2927,15686.0,DCGAN
24,12,3147,144.0,PointNet
25,12,3225,3782.0,DCGAN
26,1,3226,2014.0,vgg19
27,8,3335,3296.0,PointNet
28,1,3716,68.0,vgg19
29,1,3868,2745.0,vgg19
30,1,4095,648.0,vgg19
31,12,4217,103.0,PointNet
32,1,4264,478.0,vgg19
33,12,4297,3157.0,PointNet
34,12,4332,63.0,PointNet
35,1,4336,813.0,vgg19
36,1,4349,905.0,vgg19
37,8,4456,926.0,PointNet
38,4,4611,11771.0,resnet50
39,8,4627,681.0,PointNet
40,6,4744,319.0,PointNet
41,1,4935,65.0,vgg19
42,12,5448,231.0,PointNet
43,1,5535,69.0,vgg19
44,1,5558,292.0,vgg19
45,1,5768,389.0,vgg19
46,12,5941,840.0,PointNet
47,8,6286,891.0,PointNet
48,1,6310,391.0,vgg19
49,4,6448,50295.0,resnet50
50,1,6713,310.0,vgg19
51,16,6899,977.0,PointNet
52,1,6945,84.0,vgg19
53,1,7334,109.0,vgg19
54,8,7347,1630.0,PointNet
55,4,7516,64988.0,resnet50
56,12,7922,2659.0,PointNet
57,16,7956,584.0,PointNet
58,6,8322,10116.0,DCGAN
59,1,8338,982.0,vgg19
60,1,8647,592.0,vgg19
61,6,8835,205.0,PointNet
62,1,8990,813.0,vgg19
63,24,8998,56274.0,resnet50
64,1,9123,1691.0,vgg19
65,1,9589,2557.0,vgg19
66,1,9912,2647.0,vgg19
67,8,10399,2577.0,PointNet
68,4,10494,15812.0,resnet50
69,12,10932,131.0,PointNet
70,6,11033,487.0,PointNet
71,16,11075,14722.0,GPT2
72,1,11092,2809.0,vgg19
73,1,11175,915.0,vgg19
74,1,11220,613.0,vgg19
75,1,11380,2522.0,vgg19
76,16,11385,1719.0,PointNet
77,8,11430,3965.0,DCGAN
78,8,11579,145.0,PointNet
79,6,11618,78.0,PointNet
80,1,11701,2474.0,vgg19
81,1,11759,2573.0,vgg19
82,8,11869,2648.0,PointNet
83,6,11872,3820.0,DCGAN
84,8,11881,6052.0,DCGAN
85,12,12019,2684.0,PointNet
86,1,12072,2560.0,vgg19
87,12,12255,2638.0,PointNet
88,1,12463,588.0,vgg19
89,1,12530,2700.0,vgg19
90,8,12658,2276.0,PointNet
91,1,12692,795.0,vgg19
92,1,12778,75.0,vgg19
93,6,13159,1646.0,PointNet
94,8,13326,1171.0,PointNet
95,1,13332,74.0,vgg19
96,1,13630,2797.0,vgg19
97,1,13667,993.0,vgg19
98,1,13667,608.0,vgg19
99,12,13778,5676.0,DCGAN
100,1,13879,295.0,vgg19
101,8,14030,3948.0,BERT
102,1,14193,1465.0,vgg19
103,16,14209,3875.0,BERT
104,1,14296,2390.0,vgg19
105,1,14313,95.0,vgg19
106,16,14321,265.0,PointNet
107,1,14354,2741.0,vgg19
108,16,14397,580.0,PointNet
109,6,14414,1120.0,PointNet
110,8,14418,1069.0,PointNet
111,1,14459,2564.0,vgg19
112,1,14523,1107.0,vgg19
113,1,14532,77.0,vgg19
114,1,14542,805.0,vgg19
115,16,14550,1138.0,PointNet
116,1,14554,1781.0,vgg19
117,8,14607,5900.0,GPT2
118,6,14612,1938.0,PointNet
119,6,14644,895.0,PointNet
120,4,14764,43831.0,resnet50
121,12,15115,61.0,PointNet
122,12,15133,9400.0,DCGAN
123,8,15136,70.0,PointNet
124,12,15681,838.0,PointNet
125,8,15715,82.0,PointNet
126,1,15783,69.0,vgg19
127,12,15832,2342.0,PointNet
128,12,15878,8473.0,DCGAN
129,6,16021,178.0,PointNet
130,1,16114,895.0,vgg19
131,12,16165,208.0,PointNet
132,6,16314,5809.0,DCGAN
133,12,16315,62.0,PointNet
134,1,16348,660.0,vgg19
135,4,16351,74335.0,resnet50
136,8,16425,5562.0,BERT
137,16,16496,529.0,PointNet
138,4,16586,39072.0,resnet50
139,12,16633,5483.0,DCGAN
140,1,16714,2495.0,vgg19
141,12,16931,64.0,PointNet
142,6,17009,1454.0,PointNet
143,6,17176,3233.0,PointNet
144,6,17218,2308.0,PointNet
145,8,17265,2426.0,PointNet
146,8,17338,2814.0,PointNet
147,12,17408,5105.0,DCGAN
148,48,17502,140659.0,resnet50
149,12,17515,1313.0,PointNet
150,6,17531,63.0,PointNet
151,16,17532,1224.0,PointNet
152,8,17534,69.0,PointNet
153,1,17545,2879.0,vgg19
154,6,17558,1338.0,PointNet
155,1,17617,309.0,vgg19
156,1,17729,505.0,vgg19
157,8,17858,2356.0,PointNet
158,4,17863,85728.0,resnet50
159,1,17941,1841.0,vgg19
