job_id,num_gpus,submit_time,duration,model,batch_size
1,1,60,9447,res50,64
2,1,68,9971,res50,128
3,1,180,1244,res18,32
4,2,266,1942,res18,32
5,2,283,5782,res18,32
6,1,324,7527,alexnet,64
7,1,359,3862,shufflenet,32
8,2,422,1418,transformer,32
9,1,515,1767,res18,32
10,1,520,2815,alexnet,128
11,8,521,895,transformer,32
12,1,629,1767,shufflenet,128
13,2,663,1942,transformer,32
14,1,749,3164,res50,128
15,2,749,8400,res50,128
16,1,784,16604,alexnet,32
17,2,860,15905,res50,32
18,2,875,2989,transformer,32
19,1,1049,2116,alexnet,64
20,2,1188,2291,transformer,32
21,2,1189,4036,res50,64
22,1,1190,3513,res50,64
23,2,1236,4036,res18,32
24,1,1403,1593,alexnet,64
25,1,1431,3338,res50,128
26,1,1445,6829,res50,32
27,2,1477,720,res50,32
28,1,1478,3862,res18,64
29,2,1493,1244,alexnet,32
30,2,1527,3687,alexnet,32
31,2,1568,4036,shufflenet,128
32,4,1583,4036,res18,32
33,1,1598,4036,alexnet,64
34,2,1612,17651,transformer,32
35,1,1648,720,shufflenet,64
36,4,1668,895,shufflenet,64
37,2,1669,5782,res50,128
38,1,1778,8575,shufflenet,32
39,1,1826,4211,res50,64
40,1,1887,5956,res18,128
41,4,1899,7702,transformer,64
42,1,2192,8225,res18,128
43,2,2309,1244,res18,32
44,1,2316,16778,alexnet,64
45,1,2340,14335,alexnet,128
46,1,2416,1069,res50,32
47,1,2490,4211,alexnet,128
48,1,2655,720,res50,128
49,1,2687,1418,res50,64
50,4,2793,1593,transformer,32
51,2,2859,1767,transformer,32
52,4,2880,12415,res18,32
53,2,2933,3338,transformer,64
54,8,3061,4909,transformer,128
55,2,3173,2291,shufflenet,32
56,1,3215,5956,res18,32
57,2,3268,8749,transformer,32
58,4,3270,895,res18,32
59,4,3286,895,res50,32
60,1,3381,16255,shufflenet,32
61,2,3413,5782,alexnet,128
62,1,3424,1244,res18,32
63,2,3471,1767,transformer,128
64,1,3543,2640,res18,32
65,1,3610,3164,shufflenet,128
66,1,3638,3862,shufflenet,32
67,2,3672,8924,res18,32
68,4,3714,720,alexnet,32
69,1,3804,6655,res50,32
70,2,3848,1244,res50,128
71,1,3877,11542,alexnet,32
72,1,3917,2465,res18,128
73,1,3918,2640,alexnet,32
74,2,3920,1418,transformer,64
75,2,3992,1767,transformer,32
76,1,4237,1418,shufflenet,32
77,2,4290,3338,res18,64
78,1,4320,1244,res50,64
79,2,4331,2815,res50,64
80,1,4372,15731,res18,64
81,2,4613,2116,res50,128
82,4,4701,3164,res18,64
83,1,4747,6829,res50,64
84,8,4865,7702,transformer,32
85,1,4880,4735,res50,128
86,1,4923,3338,res18,32
87,1,5105,6480,alexnet,64
88,1,5156,3513,shufflenet,32
89,1,5192,3687,res50,32
90,1,5210,1593,alexnet,64
91,2,5257,2291,res50,128
92,1,5445,4735,alexnet,64
93,1,5445,720,alexnet,32
94,2,5536,1593,transformer,64
95,1,5639,4211,shufflenet,32
96,4,5769,3687,res18,128
97,2,5849,3862,alexnet,64
98,1,5948,4909,shufflenet,128
99,1,5991,1069,alexnet,64
100,1,6040,3513,res50,128
101,2,6073,1244,res18,128
102,1,6076,1069,shufflenet,32
103,1,6198,2465,res18,32
104,2,6248,2989,res18,64
105,4,6261,3513,shufflenet,64
106,1,6303,16255,res18,128
107,1,6342,2291,shufflenet,64
108,2,6368,4211,transformer,64
109,1,6393,2465,res18,32
110,1,6439,3862,res18,128
111,4,6497,6131,res50,64
112,1,6553,1069,res18,128
113,1,6589,1069,res50,128
114,1,6590,1244,shufflenet,32
115,1,6605,1244,shufflenet,128
116,1,6616,3862,res50,64
117,1,6668,16953,res18,128
118,2,6786,3687,transformer,64
119,2,6882,3862,res18,32
120,1,6977,3164,res18,128
