1,res50,60,9447,1
2,res50,68,9971,1
3,res18,180,1244,1
4,res18,266,1942,2
5,res18,283,5782,2
6,alexnet,324,7527,1
7,shufflenet,359,3862,1
8,transformer,422,1418,2
9,res18,515,1767,1
10,alexnet,520,2815,1
11,transformer,521,895,8
12,shufflenet,629,1767,1
13,transformer,663,1942,2
14,res50,749,3164,1
15,res50,749,8400,2
16,alexnet,784,16604,1
17,res50,860,15905,2
18,transformer,875,2989,2
19,alexnet,1049,2116,1
20,transformer,1188,2291,2
21,res50,1189,4036,2
22,res50,1190,3513,1
23,res18,1236,4036,2
24,alexnet,1403,1593,1
25,res50,1431,3338,1
26,res50,1445,6829,1
27,res50,1477,720,2
28,res18,1478,3862,1
29,alexnet,1493,1244,2
30,alexnet,1527,3687,2
31,shufflenet,1568,4036,2
32,res18,1583,4036,4
33,alexnet,1598,4036,1
34,transformer,1612,17651,2
35,shufflenet,1648,720,1
36,shufflenet,1668,895,4
37,res50,1669,5782,2
38,shufflenet,1778,8575,1
39,res50,1826,4211,1
40,res18,1887,5956,1
41,transformer,1899,7702,4
42,res18,2192,8225,1
43,res18,2309,1244,2
44,alexnet,2316,16778,1
45,alexnet,2340,14335,1
46,res50,2416,1069,1
47,alexnet,2490,4211,1
48,res50,2655,720,1
49,res50,2687,1418,1
50,transformer,2793,1593,4
51,transformer,2859,1767,2
52,res18,2880,12415,4
53,transformer,2933,3338,2
54,transformer,3061,4909,8
55,shufflenet,3173,2291,2
56,res18,3215,5956,1
57,transformer,3268,8749,2
58,res18,3270,895,4
59,res50,3286,895,4
60,shufflenet,3381,16255,1
61,alexnet,3413,5782,2
62,res18,3424,1244,1
63,transformer,3471,1767,2
64,res18,3543,2640,1
65,shufflenet,3610,3164,1
66,shufflenet,3638,3862,1
67,res18,3672,8924,2
68,alexnet,3714,720,4
69,res50,3804,6655,1
70,res50,3848,1244,2
71,alexnet,3877,11542,1
72,res18,3917,2465,1
73,alexnet,3918,2640,1
74,transformer,3920,1418,2
75,transformer,3992,1767,2
76,shufflenet,4237,1418,1
77,res18,4290,3338,2
78,res50,4320,1244,1
79,res50,4331,2815,2
80,res18,4372,15731,1
81,res50,4613,2116,2
82,res18,4701,3164,4
83,res50,4747,6829,1
84,transformer,4865,7702,8
85,res50,4880,4735,1
86,res18,4923,3338,1
87,alexnet,5105,6480,1
88,shufflenet,5156,3513,1
89,res50,5192,3687,1
90,alexnet,5210,1593,1
91,res50,5257,2291,2
92,alexnet,5445,4735,1
93,alexnet,5445,720,1
94,transformer,5536,1593,2
95,shufflenet,5639,4211,1
96,res18,5769,3687,4
97,alexnet,5849,3862,2
98,shufflenet,5948,4909,1
99,alexnet,5991,1069,1
100,res50,6040,3513,1
101,res18,6073,1244,2
102,shufflenet,6076,1069,1
103,res18,6198,2465,1
104,res18,6248,2989,2
105,shufflenet,6261,3513,4
106,res18,6303,16255,1
107,shufflenet,6342,2291,1
108,transformer,6368,4211,2
109,res18,6393,2465,1
110,res18,6439,3862,1
111,res50,6497,6131,4
112,res18,6553,1069,1
113,res50,6589,1069,1
114,shufflenet,6590,1244,1
115,shufflenet,6605,1244,1
116,res50,6616,3862,1
117,res18,6668,16953,1
118,transformer,6786,3687,2
119,res18,6882,3862,2
120,res18,6977,3164,1
121,res50,7037,9447,1
122,res50,7045,9971,1
123,res18,7157,1244,1
124,res18,7243,1942,2
125,res18,7260,5782,2
126,alexnet,7301,7527,1
127,shufflenet,7336,3862,1
128,transformer,7399,1418,2
129,res18,7492,1767,1
130,alexnet,7497,2815,1
131,transformer,7498,895,8
132,shufflenet,7606,1767,1
133,transformer,7640,1942,2
134,res50,7726,3164,1
135,res50,7726,8400,2
136,alexnet,7761,16604,1
137,res50,7837,15905,2
138,transformer,7852,2989,2
139,alexnet,8026,2116,1
140,transformer,8165,2291,2
141,res50,8166,4036,2
142,res50,8167,3513,1
143,res18,8213,4036,2
144,alexnet,8380,1593,1
145,res50,8408,3338,1
146,res50,8422,6829,1
147,res50,8454,720,2
148,res18,8455,3862,1
149,alexnet,8470,1244,2
150,alexnet,8504,3687,2
151,shufflenet,8545,4036,2
152,res18,8560,4036,4
153,alexnet,8575,4036,1
154,transformer,8589,17651,2
155,shufflenet,8625,720,1
156,shufflenet,8645,895,4
157,res50,8646,5782,2
158,shufflenet,8755,8575,1
159,res50,8803,4211,1
160,res18,8864,5956,1
161,transformer,8876,7702,4
162,res18,9169,8225,1
163,res18,9286,1244,2
164,alexnet,9293,16778,1
165,alexnet,9317,14335,1
166,res50,9393,1069,1
167,alexnet,9467,4211,1
168,res50,9632,720,1
169,res50,9664,1418,1
170,transformer,9770,1593,4
171,transformer,9836,1767,2
172,res18,9857,12415,4
173,transformer,9910,3338,2
174,transformer,10038,4909,8
175,shufflenet,10150,2291,2
176,res18,10192,5956,1
177,transformer,10245,8749,2
178,res18,10247,895,4
179,res50,10263,895,4
180,shufflenet,10358,16255,1
181,alexnet,10390,5782,2
182,res18,10401,1244,1
183,transformer,10448,1767,2
184,res18,10520,2640,1
185,shufflenet,10587,3164,1
186,shufflenet,10615,3862,1
187,res18,10649,8924,2
188,alexnet,10691,720,4
189,res50,10781,6655,1
190,res50,10825,1244,2
191,alexnet,10854,11542,1
192,res18,10894,2465,1
193,alexnet,10895,2640,1
194,transformer,10897,1418,2
195,transformer,10969,1767,2
196,shufflenet,11214,1418,1
197,res18,11267,3338,2
198,res50,11297,1244,1
199,res50,11308,2815,2
200,res18,11349,15731,1
201,res50,11590,2116,2
202,res18,11678,3164,4
203,res50,11724,6829,1
204,transformer,11842,7702,8
205,res50,11857,4735,1
206,res18,11900,3338,1
207,alexnet,12082,6480,1
208,shufflenet,12133,3513,1
209,res50,12169,3687,1
210,alexnet,12187,1593,1
211,res50,12234,2291,2
212,alexnet,12422,4735,1
213,alexnet,12422,720,1
214,transformer,12513,1593,2
215,shufflenet,12616,4211,1
216,res18,12746,3687,4
217,alexnet,12826,3862,2
218,shufflenet,12925,4909,1
219,alexnet,12968,1069,1
220,res50,13017,3513,1
221,res18,13050,1244,2
222,shufflenet,13053,1069,1
223,res18,13175,2465,1
224,res18,13225,2989,2
225,shufflenet,13238,3513,4
226,res18,13280,16255,1
227,shufflenet,13319,2291,1
228,transformer,13345,4211,2
229,res18,13370,2465,1
230,res18,13416,3862,1
231,res50,13474,6131,4
232,res18,13530,1069,1
233,res50,13566,1069,1
234,shufflenet,13567,1244,1
235,shufflenet,13582,1244,1
236,res50,13593,3862,1
237,res18,13645,16953,1
238,transformer,13763,3687,2
239,res18,13859,3862,2
240,res18,13954,3164,1
241,res50,14014,9447,1
242,res50,14022,9971,1
243,res18,14134,1244,1
244,res18,14220,1942,2
245,res18,14237,5782,2
246,alexnet,14278,7527,1
247,shufflenet,14313,3862,1
248,transformer,14376,1418,2
249,res18,14469,1767,1
250,alexnet,14474,2815,1
