name,model_name,time,num_iters,num_replicas
1,res18,33,9447,1
2,res50,41,9971,1
3,shufflenet,153,1244,1
4,transformer,239,1942,2
5,transformer,256,5782,2
6,res50,297,7527,1
7,alexnet,332,3862,1
8,res50,395,1418,2
9,shufflenet,488,1767,1
10,shufflenet,493,2815,1
11,transformer,494,895,8
12,shufflenet,602,1767,1
13,transformer,636,1942,2
14,res18,722,3164,1
15,transformer,722,8400,2
16,res18,757,16604,1
17,shufflenet,833,15905,2
18,transformer,848,2989,2
19,alexnet,1022,2116,1
20,shufflenet,1161,2291,2
21,alexnet,1162,4036,2
22,shufflenet,1163,3513,1
23,res50,1209,4036,2
24,res50,1376,1593,1
25,alexnet,1404,3338,1
26,res50,1418,6829,1
27,shufflenet,1450,720,2
28,alexnet,1451,3862,1
29,res18,1466,1244,2
30,res18,1500,3687,2
31,transformer,1541,4036,2
32,transformer,1556,4036,4
33,shufflenet,1571,4036,1
34,transformer,1585,17651,2
35,shufflenet,1621,720,1
36,alexnet,1641,895,4
37,res18,1642,5782,2
38,alexnet,1751,8575,1
39,shufflenet,1799,4211,1
40,res50,1860,5956,1
41,res18,1872,7702,4
42,shufflenet,2165,8225,1
43,transformer,2282,1244,2
44,res18,2289,16778,1
45,alexnet,2313,14335,1
46,res18,2389,1069,1
47,shufflenet,2463,4211,1
48,shufflenet,2628,720,1
49,shufflenet,2660,1418,1
50,shufflenet,2766,1593,4
